"Name", Height (Inches), Height(Feet-Inches), Weight
"Mahdi Abdul-Rahman", 74, 6-2, 185
"Bud Acton", 78, 6-6, 210
"Henry Akin", 82, 6-10, 225
"Cliff Anderson", 74, 6-2, 200
"Al Attles", 72, 6-0, 175
"Jim Barnes", 80, 6-8, 210
"Dick Barnett", 76, 6-4, 190
"Jim Barnett", 76, 6-4, 170
"John Barnhill", 73, 6-1, 180
"Elgin Baylor", 77, 6-5, 225
"Zelmo Beaty", 81, 6-9, 225
"Walt Bellamy", 83, 6-11, 225
"Dave Bing", 75, 6-3, 180
"John Block", 81, 6-9, 207
"Bob Boozer", 80, 6-8, 215
"Nate Bowman", 82, 6-10, 230
"Bill Bradley", 77, 6-5, 205
"Bill Bridges", 78, 6-6, 228
"Tyrone Britt", 76, 6-4, 190
"Em Bryant", 73, 6-1, 175
"Jim Burns", 75, 6-3, 195
"Jim Caldwell", 82, 6-10, 240
"Joe Caldwell", 77, 6-5, 195
"George Carter", 76, 6-4, 210
"Wilt Chamberlain", 85, 7-1, 275
"Len Chappell", 80, 6-8, 240
"Archie Clark", 74, 6-2, 175
"Barry Clemens", 78, 6-6, 210
"Larry Costello", 73, 6-1, 186
"Mel Counts", 84, 7-0, 230
"Freddie Crawford", 76, 6-4, 189
"Billy Cunningham", 78, 6-6, 210
"Jim Davis", 81, 6-9, 225
"Dave DeBusschere", 78, 6-6, 220
"Connie Dierking", 81, 6-9, 222
"Bill Dinwiddie", 79, 6-7, 220
"Terry Dischinger", 79, 6-7, 189
"Sonny Dove", 79, 6-7, 198
"Johnny Egan", 71, 5-11, 180
"Joe Ellis", 78, 6-6, 175
"Leroy Ellis", 82, 6-10, 210
"Wayne Embry", 80, 6-8, 240
"Keith Erickson", 77, 6-5, 195
"Bob Ferry", 80, 6-8, 230
"Ron Filipek", 77, 6-5, 205
"Hank Finkel", 84, 7-0, 240
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"Dave Gambee", 78, 6-6, 215
"Gail Goodrich", 73, 6-1, 170
"Mal Graham", 73, 6-1, 185
"Gary Gray", 73, 6-1, 185
"Johnny Green", 77, 6-5, 200
"Hal Greer", 74, 6-2, 175
"Matt Guokas", 77, 6-5, 175
"Happy Hairston", 79, 6-7, 225
"Dennis Hamilton", 80, 6-8, 210
"Reggie Harding", 84, 7-0, 249
