"Name", Height (Inches), Height(Feet-Inches), Weight
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Tom Abernethy", 79, 6-7, 220
"Alvan Adams", 81, 6-9, 210
"Lucius Allen", 74, 6-2, 175
"Kim Anderson", 79, 6-7, 200
"Tiny Archibald", 73, 6-1, 150
"Tate Armstrong", 75, 6-3, 175
"Dennis Awtrey", 82, 6-10, 235
"Gus Bailey", 77, 6-5, 185
"Greg Ballard", 79, 6-7, 215
"Mike Bantom", 81, 6-9, 200
"Tom Barker", 83, 6-11, 225
"Marvin Barnes", 80, 6-8, 210
"Rick Barry", 79, 6-7, 205
"Tim Bassett", 80, 6-8, 225
"Butch Beard", 75, 6-3, 185
"Ron Behagen", 81, 6-9, 185
"Kent Benson", 82, 6-10, 235
"Del Beshore", 71, 5-11, 165
"Henry Bibby", 73, 6-1, 185
"Bob Bigelow", 79, 6-7, 215
"Otis Birdsong", 75, 6-3, 190
"Ron Boone", 74, 6-2, 200
"Tom Boswell", 81, 6-9, 220
"Dennis Boyd", 73, 6-1, 175
"Winford Boynes", 78, 6-6, 185
"Alonzo Bradley", 78, 6-6, 190
"Mike Bratz", 74, 6-2, 185
"Jim Brewer", 81, 6-9, 210
"Ron Brewer", 76, 6-4, 180
"Junior Bridgeman", 77, 6-5, 210
"Allan Bristow", 79, 6-7, 210
"Fred Brown", 75, 6-3, 182
"John Brown", 79, 6-7, 220
"Joe Bryant", 81, 6-9, 185
"Quinn Buckner", 75, 6-3, 190
"Greg Bunch", 78, 6-6, 190
"Tom Burleson", 86, 7-2, 225
"Don Buse", 76, 6-4, 190
"Marty Byrnes", 79, 6-7, 215
"Corky Calhoun", 79, 6-7, 210
"Austin Carr", 76, 6-4, 200
"Kenny Carr", 79, 6-7, 220
"M.L. Carr", 78, 6-6, 205
"Ron Carter", 77, 6-5, 190
"Harvey Catchings", 81, 6-9, 218
"Don Chaney", 77, 6-5, 210
"Maurice Cheeks", 73, 6-1, 180
"Phil Chenier", 75, 6-3, 180
"Jim Chones", 83, 6-11, 220
"Jim Cleamons", 75, 6-3, 185
"E.C. Coleman", 80, 6-8, 225
"Doug Collins", 78, 6-6, 180
"Michael Cooper", 77, 6-5, 170
"Wayne Cooper", 82, 6-10, 220
"Dave Corzine", 83, 6-11, 250
"Dave Cowens", 81, 6-9, 230
"Wesley Cox", 78, 6-6, 215
"Charlie Criss", 68, 5-8, 165
"Geoff Crompton", 83, 6-11, 280
"Louie Dampier", 72, 6-0, 170
"Bob Dandridge", 78, 6-6, 195
"Adrian Dantley", 77, 6-5, 208
"Brad Davis", 75, 6-3, 180
"Harry Davis", 79, 6-7, 220
"Johnny Davis", 74, 6-2, 170
"Walter Davis", 78, 6-6, 193
"Darryl Dawkins", 83, 6-11, 251
"Coby Dietrick", 82, 6-10, 220
"Jacky Dorsey", 79, 6-7, 230
"Leon Douglas", 82, 6-10, 230
"John Drew", 78, 6-6, 205
"Charles Dudley", 74, 6-2, 180
"Mike Dunleavy", 75, 6-3, 180
"T.R. Dunn", 76, 6-4, 192
"James Edwards", 84, 7-0, 225
"Bob Elliott", 81, 6-9, 225
"Bo Ellis", 81, 6-9, 197
"Len Elmore", 81, 6-9, 220
"Alex English", 79, 6-7, 190
"Ray Epps", 78, 6-6, 195
"Julius Erving", 78, 6-6, 200
"Chris Ford", 77, 6-5, 190
"Don Ford", 81, 6-9, 215
"Phil Ford", 74, 6-2, 175
"Bayard Forrest", 82, 6-10, 235
"Walt Frazier", 76, 6-4, 200
"World B. Free", 74, 6-2, 185
"Terry Furlow", 76, 6-4, 190
"Mike Gale", 76, 6-4, 185
"Gus Gerard", 80, 6-8, 200
"George Gervin", 79, 6-7, 180
"John Gianelli", 82, 6-10, 220
"Artis Gilmore", 86, 7-2, 240
"Jack Givens", 77, 6-5, 205
"Mike Glenn", 74, 6-2, 175
"Glen Gondrezick", 78, 6-6, 218
"Gail Goodrich", 73, 6-1, 170
"Mike Green", 82, 6-10, 200
"Rickey Green", 72, 6-0, 170
"Steve Green", 79, 6-7, 220
"Tommie Green", 74, 6-2, 185
"Kevin Grevey", 77, 6-5, 210
"Paul Griffin", 81, 6-9, 205
"Bob Gross", 78, 6-6, 200
"Ernie Grunfeld", 78, 6-6, 210
"Lars Hansen", 82, 6-10, 225
"James Hardy", 80, 6-8, 220
"Joe Hassett", 77, 6-5, 180
"Steve Hawes", 81, 6-9, 220
"Robert Hawkins", 76, 6-4, 190
"Elvin Hayes", 81, 6-9, 235
"Spencer Haywood", 80, 6-8, 225
"Gar Heard", 78, 6-6, 219
"Tom Henderson", 75, 6-3, 190
"Keith Herron", 78, 6-6, 195
"Phil Hicks", 79, 6-7, 205
"Kenny Higgs", 72, 6-0, 180
"Armond Hill", 76, 6-4, 190
"Darnell Hillman", 81, 6-9, 215
"Wilbur Holland", 72, 6-0, 175
"Lionel Hollins", 75, 6-3, 185
"Essie Hollis", 78, 6-6, 195
"Otis Howard", 79, 6-7, 220
"Lou Hudson", 77, 6-5, 210
"Kim Hughes", 83, 6-11, 220
"Dan Issel", 81, 6-9, 235
"Phil Jackson", 80, 6-8, 220
"Aaron James", 80, 6-8, 210
"Charles Johnson", 72, 6-0, 170
"Clemon Johnson", 82, 6-10, 240
"Dennis Johnson", 76, 6-4, 185
"Eddie Johnson", 74, 6-2, 180
"George Johnson", 83, 6-11, 205
"George Johnson", 79, 6-7, 210
"John Johnson", 79, 6-7, 200
"Marques Johnson", 79, 6-7, 218
"Mickey Johnson", 82, 6-10, 190
"Ollie Johnson", 78, 6-6, 200
"Bobby Jones", 81, 6-9, 210
"Caldwell Jones", 83, 6-11, 217
"Dwight Jones", 82, 6-10, 210
"Eddie Jordan", 73, 6-1, 170
"Jeff Judkins", 78, 6-6, 185
"Rich Kelley", 84, 7-0, 235
"Larry Kenon", 81, 6-9, 205
"Bernard King", 79, 6-7, 205
"Billy Knight", 78, 6-6, 195
"Toby Knight", 81, 6-9, 210
"Joel Kramer", 79, 6-7, 203
"John Kuester", 74, 6-2, 180
"Kevin Kunnert", 84, 7-0, 230
"Mitch Kupchak", 81, 6-9, 230
"Sam Lacey", 82, 6-10, 235
"Tom LaGarde", 82, 6-10, 220
"John Lambert", 82, 6-10, 225
"Mark Landsberger", 80, 6-8, 215
"Bob Lanier", 83, 6-11, 250
"Butch Lee", 72, 6-0, 185
"Ron Lee", 76, 6-4, 193
"Scott Lloyd", 82, 6-10, 230
"John Long", 77, 6-5, 195
"John Lucas", 75, 6-3, 175
"Maurice Lucas", 81, 6-9, 215
"Moses Malone", 82, 6-10, 215
"Pete Maravich", 77, 6-5, 197
"Cedric Maxwell", 80, 6-8, 205
"Scott May", 79, 6-7, 215
"Bob McAdoo", 81, 6-9, 210
"Ted McClain", 73, 6-1, 180
"Jim McElroy", 75, 6-3, 190
"George McGinnis", 80, 6-8, 235
"Billy McKinney", 72, 6-0, 160
"Tom McMillen", 83, 6-11, 215
"Jim McMillian", 77, 6-5, 215
"Larry McNeill", 81, 6-9, 195
"John Mengelt", 74, 6-2, 195
"Joe Meriweather", 82, 6-10, 215
"Mike Mitchell", 79, 6-7, 215
"Steve Mix", 79, 6-7, 215
"Eric Money", 72, 6-0, 170
"Earl Monroe", 75, 6-3, 185
"Glenn Mosley", 80, 6-8, 195
"Calvin Murphy", 69, 5-9, 165
"Bob Nash", 80, 6-8, 195
"Swen Nater", 83, 6-11, 240
"Lloyd Neal", 79, 6-7, 225
"Mike Newlin", 76, 6-4, 200
"Norm Nixon", 74, 6-2, 170
"Connie Norman", 75, 6-3, 175
"Mark Olberding", 80, 6-8, 225
"John Olive", 79, 6-7, 210
"Tom Owens", 82, 6-10, 215
"Robert Parish", 84, 7-0, 230
"Sonny Parker", 78, 6-6, 200
