"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Tom Abernethy", 79, 6-7, 220
"Alvan Adams", 81, 6-9, 210
"Lucius Allen", 74, 6-2, 175
"Jim Ard", 80, 6-8, 215
"Tate Armstrong", 75, 6-3, 175
"Bird Averitt", 73, 6-1, 170
"Dennis Awtrey", 82, 6-10, 235
"Gus Bailey", 77, 6-5, 185
"Greg Ballard", 79, 6-7, 215
"Mike Bantom", 81, 6-9, 200
"Marvin Barnes", 80, 6-8, 210
"Rick Barry", 79, 6-7, 205
"Tim Bassett", 80, 6-8, 225
"Butch Beard", 75, 6-3, 185
"Ron Behagen", 81, 6-9, 185
"Mel Bennett", 79, 6-7, 200
"Kent Benson", 82, 6-10, 235
"Henry Bibby", 73, 6-1, 185
"Bob Bigelow", 79, 6-7, 215
"Dave Bing", 75, 6-3, 180
"Otis Birdsong", 75, 6-3, 190
"Tom Boerwinkle", 84, 7-0, 265
"Phil Bond", 74, 6-2, 175
"Ron Boone", 74, 6-2, 200
"Jim Bostic", 79, 6-7, 225
"Tom Boswell", 81, 6-9, 220
"Freddie Boyd", 74, 6-2, 180
"Alonzo Bradley", 78, 6-6, 190
"Mike Bratz", 74, 6-2, 185
"Jim Brewer", 81, 6-9, 210
"Junior Bridgeman", 77, 6-5, 210
"Allan Bristow", 79, 6-7, 210
"Wayman Britt", 74, 6-2, 185
"Gary Brokaw", 76, 6-4, 178
"Fred Brown", 75, 6-3, 182
"John Brown", 79, 6-7, 220
"Joe Bryant", 81, 6-9, 185
"Quinn Buckner", 75, 6-3, 190
"Ticky Burden", 74, 6-2, 185
"Tom Burleson", 86, 7-2, 225
"Don Buse", 76, 6-4, 190
"Corky Calhoun", 79, 6-7, 210
"Mack Calvin", 72, 6-0, 165
"Austin Carr", 76, 6-4, 200
"Kenny Carr", 79, 6-7, 220
"M.L. Carr", 78, 6-6, 205
"Bob Carrington", 78, 6-6, 195
"Harvey Catchings", 81, 6-9, 218
"Don Chaney", 77, 6-5, 210
"Ken Charles", 75, 6-3, 180
"Phil Chenier", 75, 6-3, 180
"Jim Chones", 83, 6-11, 220
"Jim Cleamons", 75, 6-3, 185
"E.C. Coleman", 80, 6-8, 225
"Doug Collins", 78, 6-6, 180
"Norm Cook", 80, 6-8, 210
"Dave Cowens", 81, 6-9, 230
"Wesley Cox", 78, 6-6, 215
"Charlie Criss", 68, 5-8, 165
"Mark Crow", 79, 6-7, 210
"Louie Dampier", 72, 6-0, 170
"Bob Dandridge", 78, 6-6, 195
"Adrian Dantley", 77, 6-5, 208
"Brad Davis", 75, 6-3, 180
"Johnny Davis", 74, 6-2, 170
"Walter Davis", 78, 6-6, 193
"Darryl Dawkins", 83, 6-11, 251
"Derrek Dickey", 79, 6-7, 218
"Coby Dietrick", 82, 6-10, 220
"Ernie DiGregorio", 72, 6-0, 180
"Jacky Dorsey", 79, 6-7, 230
"Leon Douglas", 82, 6-10, 230
"John Drew", 78, 6-6, 205
"Charles Dudley", 74, 6-2, 180
"Mike Dunleavy", 75, 6-3, 180
"T.R. Dunn", 76, 6-4, 192
"Jim Eakins", 83, 6-11, 215
"Al Eberhard", 78, 6-6, 225
"James Edwards", 84, 7-0, 225
"Bo Ellis", 81, 6-9, 197
"Len Elmore", 81, 6-9, 220
"Alex English", 79, 6-7, 190
"Julius Erving", 78, 6-6, 200
"Al Fleming", 79, 6-7, 215
"Mike Flynn", 74, 6-2, 180
"Chris Ford", 77, 6-5, 190
"Don Ford", 81, 6-9, 215
"Bayard Forrest", 82, 6-10, 235
"Walt Frazier", 76, 6-4, 200
"World B. Free", 74, 6-2, 185
"Terry Furlow", 76, 6-4, 190
"Mike Gale", 76, 6-4, 185
"Gus Gerard", 80, 6-8, 200
"George Gervin", 79, 6-7, 180
"John Gianelli", 82, 6-10, 220
"Artis Gilmore", 86, 7-2, 240
"Mike Glenn", 74, 6-2, 175
"Glen Gondrezick", 78, 6-6, 218
"Gail Goodrich", 73, 6-1, 170
"Mike Green", 82, 6-10, 200
"Rickey Green", 72, 6-0, 170
"Steve Green", 79, 6-7, 220
"Kevin Grevey", 77, 6-5, 210
"Greg Griffin", 79, 6-7, 190
"Paul Griffin", 81, 6-9, 205
"Bob Gross", 78, 6-6, 200
"Ernie Grunfeld", 78, 6-6, 210
"Glenn Hansen", 76, 6-4, 205
"Joe Hassett", 77, 6-5, 180
"John Havlicek", 77, 6-5, 203
"Steve Hawes", 81, 6-9, 220
"Robert Hawkins", 76, 6-4, 190
"Elvin Hayes", 81, 6-9, 235
"Spencer Haywood", 80, 6-8, 225
"Gar Heard", 78, 6-6, 219
"Tom Henderson", 75, 6-3, 190
"Armond Hill", 76, 6-4, 190
"Darnell Hillman", 81, 6-9, 215
"Wilbur Holland", 72, 6-0, 175
"Lionel Hollins", 75, 6-3, 185
"Lou Hudson", 77, 6-5, 210
"Kim Hughes", 83, 6-11, 220
"Dan Issel", 81, 6-9, 235
"Phil Jackson", 80, 6-8, 220
"Aaron James", 80, 6-8, 210
"Charles Johnson", 72, 6-0, 170
"Dennis Johnson", 76, 6-4, 185
"Eddie Johnson", 74, 6-2, 180
"George Johnson", 83, 6-11, 205
"John Johnson", 79, 6-7, 200
"Larry Johnson", 75, 6-3, 205
"Marques Johnson", 79, 6-7, 218
"Mickey Johnson", 82, 6-10, 190
"Ollie Johnson", 78, 6-6, 200
"Bobby Jones", 81, 6-9, 210
"Caldwell Jones", 83, 6-11, 217
"Dwight Jones", 82, 6-10, 210
"Robin Jones", 81, 6-9, 225
"Wil Jones", 80, 6-8, 205
"Eddie Jordan", 73, 6-1, 170
"George Karl", 74, 6-2, 185
"Rich Kelley", 84, 7-0, 235
"Larry Kenon", 81, 6-9, 205
"Bernard King", 79, 6-7, 205
"Billy Knight", 78, 6-6, 195
"Toby Knight", 81, 6-9, 210
"Steve Kuberski", 80, 6-8, 215
"John Kuester", 74, 6-2, 180
"Kevin Kunnert", 84, 7-0, 230
"Mitch Kupchak", 81, 6-9, 230
"C.J. Kupec", 78, 6-6, 220
