"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Mahdi Abdul-Rahman", 74, 6-2, 185
"Rick Adelman", 73, 6-1, 175
"Bob Allen", 81, 6-9, 205
"Cliff Anderson", 74, 6-2, 200
"Al Attles", 72, 6-0, 175
"Harry Barnes", 75, 6-3, 205
"Jim Barnes", 80, 6-8, 210
"Dick Barnett", 76, 6-4, 190
"Jim Barnett", 76, 6-4, 170
"John Barnhill", 73, 6-1, 180
"Elgin Baylor", 77, 6-5, 225
"Zelmo Beaty", 81, 6-9, 225
"Walt Bellamy", 83, 6-11, 225
"Ed Biedenbach", 73, 6-1, 175
"Dave Bing", 75, 6-3, 180
"John Block", 81, 6-9, 207
"Tom Boerwinkle", 84, 7-0, 265
"Bob Boozer", 80, 6-8, 215
"Nate Bowman", 82, 6-10, 230
"Bill Bradley", 77, 6-5, 205
"Bill Bridges", 78, 6-6, 228
"Em Bryant", 73, 6-1, 175
"Joe Caldwell", 77, 6-5, 195
"Jay Carty", 80, 6-8, 220
"Wilt Chamberlain", 85, 7-1, 275
"Don Chaney", 77, 6-5, 210
"Len Chappell", 80, 6-8, 240
"Archie Clark", 74, 6-2, 175
"Barry Clemens", 78, 6-6, 210
"Mel Counts", 84, 7-0, 230
"Freddie Crawford", 76, 6-4, 189
"Billy Cunningham", 78, 6-6, 210
"Dick Cunningham", 82, 6-10, 245
"Jim Davis", 81, 6-9, 225
"Dave DeBusschere", 78, 6-6, 220
"Connie Dierking", 81, 6-9, 222
"Bill Dinwiddie", 79, 6-7, 220
"Terry Dischinger", 79, 6-7, 189
"Sonny Dove", 79, 6-7, 198
"Johnny Egan", 71, 5-11, 180
"Joe Ellis", 78, 6-6, 175
"Leroy Ellis", 82, 6-10, 210
"Wayne Embry", 80, 6-8, 240
"Keith Erickson", 77, 6-5, 195
"Bob Ferry", 80, 6-8, 230
"Hank Finkel", 84, 7-0, 240
"Fred Foster", 77, 6-5, 210
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"Pat Frink", 76, 6-4, 195
"Dave Gambee", 78, 6-6, 215
"Gail Goodrich", 73, 6-1, 170
"Mal Graham", 73, 6-1, 185
"Johnny Green", 77, 6-5, 200
"Hal Greer", 74, 6-2, 175
"Gary Gregor", 79, 6-7, 225
"Richie Guerin", 76, 6-4, 195
"Matt Guokas", 77, 6-5, 175
"Al Hairston", 73, 6-1, 170
"Happy Hairston", 79, 6-7, 225
"Shaler Halimon", 77, 6-5, 199
"Dennis Hamilton", 80, 6-8, 210
"Skip Harlicka", 73, 6-1, 185
"Art Harris", 76, 6-4, 185
"Clem Haskins", 75, 6-3, 195
"John Havlicek", 77, 6-5, 203
"Tom Hawkins", 77, 6-5, 210
"Elvin Hayes", 81, 6-9, 235
"Fred Hetzel", 80, 6-8, 220
"Bill Hewitt", 79, 6-7, 210
"Bill Hosket", 80, 6-8, 225
"Bailey Howell", 79, 6-7, 210
"Lou Hudson", 77, 6-5, 210
"Darrall Imhoff", 82, 6-10, 220
"Luke Jackson", 81, 6-9, 240
"Phil Jackson", 80, 6-8, 220
"Gus Johnson", 78, 6-6, 230
"Neil Johnson", 79, 6-7, 220
"Rich Johnson", 79, 6-7, 210
"Sam Jones", 76, 6-4, 198
"Wali Jones", 74, 6-2, 180
"Bob Kauffman", 80, 6-8, 240
"Joe Kennedy", 78, 6-6, 210
"Toby Kimball", 78, 6-6, 220
"Jim King", 74, 6-2, 175
"Rod Knowles", 81, 6-9, 215
"Don Kojis", 77, 6-5, 215
"Howard Komives", 73, 6-1, 185
"Tommy Kron", 77, 6-5, 200
"Stu Lantz", 75, 6-3, 175
"Rudy LaRusso", 79, 6-7, 220
"Dave Lattin", 78, 6-6, 225
"Clyde Lee", 82, 6-10, 205
"George Lehmann", 72, 6-0, 180
"Bobby Lewis", 75, 6-3, 175
"Plummer Lott", 77, 6-5, 210
"Kevin Loughery", 75, 6-3, 190
"Bob Love", 80, 6-8, 215
"Jerry Lucas", 80, 6-8, 230
"Ed Manning", 79, 6-7, 210
"Jack Marin", 79, 6-7, 200
"Don May", 76, 6-4, 200
