"Name", Height (Inches), Height(Feet-Inches), Weight
"Mahdi Abdul-Rahman", 74, 6-2, 185
"Jay Arnette", 74, 6-2, 175
"Al Attles", 72, 6-0, 175
"Jim Barnes", 80, 6-8, 210
"Dick Barnett", 76, 6-4, 190
"John Barnhill", 73, 6-1, 180
"Elgin Baylor", 77, 6-5, 225
"Zelmo Beaty", 81, 6-9, 225
"Walt Bellamy", 83, 6-11, 225
"Al Bianchi", 75, 6-3, 185
"Bucky Bockhorn", 76, 6-4, 200
"Ron Bonham", 77, 6-5, 192
"Bob Boozer", 80, 6-8, 215
"Gary Bradds", 80, 6-8, 210
"Bill Bridges", 78, 6-6, 228
"Em Bryant", 73, 6-1, 175
"Dave Budd", 78, 6-6, 205
"Ed Burton", 78, 6-6, 225
"Donnie Butcher", 74, 6-2, 200
"Al Butler", 74, 6-2, 175
"Joe Caldwell", 77, 6-5, 195
"Wilt Chamberlain", 85, 7-1, 275
"Len Chappell", 80, 6-8, 240
"Larry Costello", 73, 6-1, 186
"Mel Counts", 84, 7-0, 230
"Steve Courtin", 73, 6-1, 188
"Dave DeBusschere", 78, 6-6, 220
"Connie Dierking", 81, 6-9, 222
"Terry Dischinger", 79, 6-7, 189
"Bob Duffy", 75, 6-3, 185
"Johnny Egan", 71, 5-11, 180
"Leroy Ellis", 82, 6-10, 210
"Wayne Embry", 80, 6-8, 240
"Mike Farmer", 79, 6-7, 210
"Bob Ferry", 80, 6-8, 230
"Dave Gambee", 78, 6-6, 215
"Tom Gola", 78, 6-6, 205
"Johnny Green", 77, 6-5, 200
"Si Green", 74, 6-2, 185
"Jerry Greenspan", 77, 6-5, 195
"Hal Greer", 74, 6-2, 175
"Jerry Grote", 76, 6-4, 215
"Richie Guerin", 76, 6-4, 195
"Cliff Hagan", 76, 6-4, 210
"Happy Hairston", 79, 6-7, 225
"Reggie Harding", 84, 7-0, 249
"Charlie Hardnett", 80, 6-8, 225
"John Havlicek", 77, 6-5, 203
"Tom Hawkins", 77, 6-5, 210
"Tom Heinsohn", 79, 6-7, 218
"Art Heyman", 77, 6-5, 205
"Wayne Hightower", 80, 6-8, 192
"Gary Hill", 76, 6-4, 185
"Tom Hoover", 81, 6-9, 230
"Bailey Howell", 79, 6-7, 210
"Les Hunter", 79, 6-7, 210
"Darrall Imhoff", 82, 6-10, 220
"Luke Jackson", 81, 6-9, 240
"Gus Johnson", 78, 6-6, 230
"K.C. Jones", 73, 6-1, 200
"Larry Jones", 74, 6-2, 180
"Sam Jones", 76, 6-4, 198
"Wali Jones", 74, 6-2, 180
"Willie Jones", 75, 6-3, 185
"Red Kerr", 81, 6-9, 230
"Jim King", 74, 6-2, 175
"Don Kojis", 77, 6-5, 215
"Howard Komives", 73, 6-1, 185
"Bud Koper", 78, 6-6, 210
"Barry Kramer", 76, 6-4, 200
"Rudy LaRusso", 79, 6-7, 220
"George Lee", 76, 6-4, 200
"Kevin Loughery", 75, 6-3, 190
"Jerry Lucas", 80, 6-8, 230
"Bill McGill", 81, 6-9, 225
"McCoy McLemore", 79, 6-7, 230
"Tom Meschery", 78, 6-6, 215
"Eddie Miles", 76, 6-4, 195
"Jackie Moreland", 79, 6-7, 215
"Jeff Mullins", 76, 6-4, 190
"Cotton Nash", 77, 6-5, 215
"Willie Naulls", 78, 6-6, 225
"Don Nelson", 78, 6-6, 210
"Paul Neumann", 73, 6-1, 175
"Bevo Nordmann", 82, 6-10, 225
"Don Ohl", 75, 6-3, 190
"Bud Olsen", 80, 6-8, 220
"Bob Pettit", 81, 6-9, 205
"Gary Phillips", 75, 6-3, 189
"Hub Reed", 81, 6-9, 215
"Willis Reed", 81, 6-9, 235
"Oscar Robertson", 77, 6-5, 205
"Guy Rodgers", 72, 6-0, 185
"John Rudometkin", 78, 6-6, 205
"Bill Russell", 82, 6-10, 215
"Tom Sanders", 78, 6-6, 210
"Ray Scott", 81, 6-9, 215
"Larry Siegfried", 75, 6-3, 190
"Paul Silas", 79, 6-7, 220
"Adrian Smith", 73, 6-1, 180
"Tom Thacker", 74, 6-2, 170
"John Thompson", 82, 6-10, 225
"Rod Thorn", 76, 6-4, 195
"Nate Thurmond", 83, 6-11, 225
"John Tresvant", 79, 6-7, 215
"Jack Twyman", 78, 6-6, 210
"Chico Vaughn", 74, 6-2, 190
"Chet Walker", 78, 6-6, 212
"Gerry Ward", 76, 6-4, 195
"Ben Warley", 77, 6-5, 200
"Jerry West", 74, 6-2, 175
"Gene Wiley", 82, 6-10, 210
"Lenny Wilkens", 73, 6-1, 180
"George Wilson", 80, 6-8, 225
