"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Tom Abernethy", 79, 6-7, 220
"Alvan Adams", 81, 6-9, 210
"Don Adams", 78, 6-6, 210
"Lucius Allen", 74, 6-2, 175
"Jerome Anderson", 77, 6-5, 195
"Tiny Archibald", 73, 6-1, 150
"Jim Ard", 80, 6-8, 215
"Bird Averitt", 73, 6-1, 170
"Dennis Awtrey", 82, 6-10, 235
"Mike Bantom", 81, 6-9, 200
"Tom Barker", 83, 6-11, 225
"Marvin Barnes", 80, 6-8, 210
"Jim Barnett", 76, 6-4, 170
"Norton Barnhill", 76, 6-4, 205
"Mike Barr", 75, 6-3, 180
"Rick Barry", 79, 6-7, 205
"Tim Bassett", 80, 6-8, 225
"Butch Beard", 75, 6-3, 185
"Byron Beck", 81, 6-9, 225
"Ron Behagen", 81, 6-9, 185
"Mel Bennett", 79, 6-7, 200
"Henry Bibby", 73, 6-1, 185
"Bob Bigelow", 79, 6-7, 215
"Dave Bing", 75, 6-3, 180
"Tom Boerwinkle", 84, 7-0, 265
"Ron Boone", 74, 6-2, 200
"Tom Boswell", 81, 6-9, 220
"Freddie Boyd", 74, 6-2, 180
"Bill Bradley", 77, 6-5, 205
"Jim Brewer", 81, 6-9, 210
"Junior Bridgeman", 77, 6-5, 210
"Allan Bristow", 79, 6-7, 210
"Gary Brokaw", 76, 6-4, 178
"Fred Brown", 75, 6-3, 182
"John Brown", 79, 6-7, 220
"Roger Brown", 83, 6-11, 225
"Joe Bryant", 81, 6-9, 185
"Quinn Buckner", 75, 6-3, 190
"Ticky Burden", 74, 6-2, 185
"Tom Burleson", 86, 7-2, 225
"Don Buse", 76, 6-4, 190
"Corky Calhoun", 79, 6-7, 210
"Mack Calvin", 72, 6-0, 165
"Austin Carr", 76, 6-4, 200
"M.L. Carr", 78, 6-6, 205
"Fred Carter", 75, 6-3, 185
"Cornelius Cash", 80, 6-8, 215
"Harvey Catchings", 81, 6-9, 218
"Don Chaney", 77, 6-5, 210
"Ken Charles", 75, 6-3, 180
"Phil Chenier", 75, 6-3, 180
"Jim Chones", 83, 6-11, 220
"Jim Cleamons", 75, 6-3, 185
"E.C. Coleman", 80, 6-8, 225
"Doug Collins", 78, 6-6, 180
"Norm Cook", 80, 6-8, 210
"Dave Cowens", 81, 6-9, 230
"Mike D'Antoni", 75, 6-3, 185
"Louie Dampier", 72, 6-0, 170
"Bob Dandridge", 78, 6-6, 195
"Mel Daniels", 81, 6-9, 220
"Adrian Dantley", 77, 6-5, 208
"Dwight Davis", 80, 6-8, 220
"Johnny Davis", 74, 6-2, 170
"Mel Davis", 78, 6-6, 220
"Mickey Davis", 79, 6-7, 195
"Ron Davis", 78, 6-6, 198
"Darryl Dawkins", 83, 6-11, 251
"Randy Denton", 82, 6-10, 240
"Henry Dickerson", 76, 6-4, 190
"Derrek Dickey", 79, 6-7, 218
"Coby Dietrick", 82, 6-10, 220
"Ernie DiGregorio", 72, 6-0, 180
"Leon Douglas", 82, 6-10, 230
"John Drew", 78, 6-6, 205
"Charles Dudley", 74, 6-2, 180
"Mike Dunleavy", 75, 6-3, 180
"Jim Eakins", 83, 6-11, 215
"Al Eberhard", 78, 6-6, 225
"Len Elmore", 81, 6-9, 220
"Darrell Elston", 76, 6-4, 190
"Alex English", 79, 6-7, 190
"Keith Erickson", 77, 6-5, 195
"Julius Erving", 78, 6-6, 200
"Butch Feher", 76, 6-4, 185
"Eric Fernsten", 82, 6-10, 205
"Mike Flynn", 74, 6-2, 180
"Chris Ford", 77, 6-5, 190
"Don Ford", 81, 6-9, 215
"Fred Foster", 77, 6-5, 210
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"World B. Free", 74, 6-2, 185
"Terry Furlow", 76, 6-4, 190
"Mike Gale", 76, 6-4, 185
"Rowland Garrett", 78, 6-6, 210
"Gus Gerard", 80, 6-8, 200
"George Gervin", 79, 6-7, 180
"John Gianelli", 82, 6-10, 220
"Herm Gilliam", 75, 6-3, 190
"Artis Gilmore", 86, 7-2, 240
"Gail Goodrich", 73, 6-1, 170
"Leonard Gray", 80, 6-8, 240
"Mike Green", 82, 6-10, 200
"Steve Green", 79, 6-7, 220
"Kevin Grevey", 77, 6-5, 210
"Paul Griffin", 81, 6-9, 205
"Bob Gross", 78, 6-6, 200
"Rudy Hackett", 81, 6-9, 210
"Glenn Hansen", 76, 6-4, 205
"John Havlicek", 77, 6-5, 203
"Steve Hawes", 81, 6-9, 220
"Robert Hawkins", 76, 6-4, 190
"Elvin Hayes", 81, 6-9, 235
"Spencer Haywood", 80, 6-8, 225
"Gar Heard", 78, 6-6, 219
"Tom Henderson", 75, 6-3, 190
"Phil Hicks", 79, 6-7, 205
"Armond Hill", 76, 6-4, 190
"Darnell Hillman", 81, 6-9, 215
"Wilbur Holland", 72, 6-0, 175
"Lionel Hollins", 75, 6-3, 185
"Mo Howard", 74, 6-2, 170
"Lou Hudson", 77, 6-5, 210
"Kim Hughes", 83, 6-11, 220
"Dan Issel", 81, 6-9, 235
"Phil Jackson", 80, 6-8, 220
"Aaron James", 80, 6-8, 210
"Charles Johnson", 72, 6-0, 170
"Dennis Johnson", 76, 6-4, 185
"George Johnson", 83, 6-11, 205
"John Johnson", 79, 6-7, 200
"Mickey Johnson", 82, 6-10, 190
"Ollie Johnson", 78, 6-6, 200
"Bobby Jones", 81, 6-9, 210
"Caldwell Jones", 83, 6-11, 217
"Dwight Jones", 82, 6-10, 210
"Jimmy Jones", 76, 6-4, 188
"Rich Jones", 78, 6-6, 220
"Robin Jones", 81, 6-9, 225
"Wil Jones", 80, 6-8, 205
"George Karl", 74, 6-2, 185
"Rich Kelley", 84, 7-0, 235
"Goo Kennedy", 77, 6-5, 205
"Larry Kenon", 81, 6-9, 205
"Billy Knight", 78, 6-6, 195
"Tom Kropp", 75, 6-3, 205
"Steve Kuberski", 80, 6-8, 215
"Kevin Kunnert", 84, 7-0, 230
"Mitch Kupchak", 81, 6-9, 230
"C.J. Kupec", 78, 6-6, 220
