"Name", Height (Inches), Height(Feet-Inches), Weight
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Alvan Adams", 81, 6-9, 210
"Mark Aguirre", 78, 6-6, 232
"Danny Ainge", 76, 6-4, 175
"Tiny Archibald", 73, 6-1, 150
"Dennis Awtrey", 82, 6-10, 235
"Carl Bailey", 84, 7-0, 210
"James Bailey", 81, 6-9, 220
"Greg Ballard", 79, 6-7, 215
"Gene Banks", 79, 6-7, 215
"Mike Bantom", 81, 6-9, 200
"Billy Ray Bates", 76, 6-4, 210
"Mel Bennett", 79, 6-7, 200
"Kent Benson", 82, 6-10, 235
"Larry Bird", 81, 6-9, 220
"Otis Birdsong", 75, 6-3, 190
"Rolando Blackman", 78, 6-6, 190
"Ray Blume", 76, 6-4, 185
"Alex Bradley", 78, 6-6, 215
"Charles Bradley", 77, 6-5, 215
"Dudley Bradley", 78, 6-6, 195
"Brad Branson", 82, 6-10, 220
"Mike Bratz", 74, 6-2, 185
"Jim Brewer", 81, 6-9, 210
"Ron Brewer", 76, 6-4, 180
"Junior Bridgeman", 77, 6-5, 210
"Allan Bristow", 79, 6-7, 210
"Jim Brogan", 76, 6-4, 185
"Michael Brooks", 79, 6-7, 220
"Fred Brown", 75, 6-3, 182
"Rickey Brown", 82, 6-10, 215
"Joe Bryant", 81, 6-9, 185
"Quinn Buckner", 75, 6-3, 190
"Roger Burkman", 77, 6-5, 175
"David Burns", 74, 6-2, 180
"Don Buse", 76, 6-4, 190
"Kenny Carr", 79, 6-7, 220
"M.L. Carr", 78, 6-6, 205
"Joe Barry Carroll", 84, 7-0, 225
"Butch Carter", 77, 6-5, 180
"Reggie Carter", 75, 6-3, 175
"Bill Cartwright", 85, 7-1, 245
"Harvey Catchings", 81, 6-9, 218
"Bobby Cattage", 81, 6-9, 250
"Tom Chambers", 82, 6-10, 220
"Maurice Cheeks", 73, 6-1, 180
"Jim Chones", 83, 6-11, 220
"Don Collins", 78, 6-6, 190
"Darwin Cook", 75, 6-3, 184
"Jeff Cook", 82, 6-10, 215
"Joe Cooper", 82, 6-10, 230
"Michael Cooper", 77, 6-5, 170
"Wayne Cooper", 82, 6-10, 220
"Hollis Copeland", 78, 6-6, 180
"Dave Corzine", 83, 6-11, 250
"Charlie Criss", 68, 5-8, 165
"Geoff Crompton", 83, 6-11, 280
"Pat Cummings", 81, 6-9, 230
"Earl Cureton", 81, 6-9, 210
"Bob Dandridge", 78, 6-6, 195
"Adrian Dantley", 77, 6-5, 208
"Brad Davis", 75, 6-3, 180
"Charles Davis", 79, 6-7, 215
"Johnny Davis", 74, 6-2, 170
"Ron Davis", 78, 6-6, 198
"Walter Davis", 78, 6-6, 193
"Darryl Dawkins", 83, 6-11, 251
"Larry Demic", 81, 6-9, 225
"Kenny Dennard", 80, 6-8, 220
"Coby Dietrick", 82, 6-10, 220
"Mickey Dillard", 75, 6-3, 170
"James Donaldson", 86, 7-2, 275
"John Douglas", 74, 6-2, 170
"Leon Douglas", 82, 6-10, 230
"John Drew", 78, 6-6, 205
"Larry Drew", 73, 6-1, 170
