"Name", Height (Inches), Height(Feet-Inches), Weight
"Paul Arizin", 76, 6-4, 190
"Jesse Arnelle", 77, 6-5, 220
"Dick Atha", 74, 6-2, 190
"Jim Baechtold", 76, 6-4, 205
"Ernie Barrett", 75, 6-3, 180
"Ernie Beck", 76, 6-4, 190
"Don Bielke", 79, 6-7, 240
"Carl Braun", 77, 6-5, 180
"Frankie Brian", 73, 6-1, 180
"Nathaniel Clifton", 78, 6-6, 220
"Jack Coleman", 79, 6-7, 195
"Ed Conlin", 77, 6-5, 200
"Chuck Cooper", 77, 6-5, 210
"Bob Cousy", 73, 6-1, 175
"Red Davis", 79, 6-7, 220
"Walt Davis", 80, 6-8, 205
"George Dempsey", 74, 6-2, 190
"Corky Devlin", 77, 6-5, 195
"Walter Dukes", 84, 7-0, 220
"Dick Farley", 76, 6-4, 190
"Ron Feiereisel", 75, 6-3, 185
"Ray Felix", 83, 6-11, 220
"Al Ferrari", 76, 6-4, 190
"Ed Fleming", 75, 6-3, 189
"Larry Foust", 81, 6-9, 215
"Harry Gallatin", 78, 6-6, 210
"Dick Garmaker", 75, 6-3, 200
"Jack George", 74, 6-2, 190
"Tom Gola", 78, 6-6, 205
"Joe Graboski", 79, 6-7, 195
"Alex Hannum", 79, 6-7, 210
"Chris Harris", 75, 6-3, 190
"Bob Harrison", 73, 6-1, 190
"Dick Hemric", 78, 6-6, 220
"Larry Hennessy", 75, 6-3, 185
"Lew Hitch", 80, 6-8, 200
"Jim Holstein", 75, 6-3, 180
"Johnny Horan", 80, 6-8, 190
"Bob Houbregs", 79, 6-7, 210
"Mel Hutchins", 78, 6-6, 200
"Neil Johnston", 80, 6-8, 210
"Ed Kalafat", 78, 6-6, 245
"Billy Kenville", 74, 6-2, 187
"Red Kerr", 81, 6-9, 230
"George King", 72, 6-0, 175
"Earl Lloyd", 77, 6-5, 200
"Jim Loscutoff", 77, 6-5, 220
"Clyde Lovellette", 81, 6-9, 234
"Ed Macauley", 80, 6-8, 185
"Slater Martin", 70, 5-10, 170
"Dick McGuire", 72, 6-0, 180
"Jack McMahon", 73, 6-1, 185
"Monk Meineke", 79, 6-7, 208
"Chuck Mencel", 72, 6-0, 168
"George Mikan", 82, 6-10, 245
"Vern Mikkelsen", 79, 6-7, 230
"Jackie Moore", 77, 6-5, 180
"Red Morrison", 80, 6-8, 220
"Jack Nichols", 79, 6-7, 222
"Chuck Noble", 76, 6-4, 190
"Togo Palazzi", 76, 6-4, 205
"Med Park", 74, 6-2, 205
"Bob Peterson", 77, 6-5, 210
"Bob Pettit", 81, 6-9, 205
"Andy Phillip", 74, 6-2, 195
"Richie Regan", 74, 6-2, 180
"Dick Ricketts", 79, 6-7, 215
"Arnie Risen", 81, 6-9, 200
"Red Rocha", 81, 6-9, 185
"Bob Santini", 77, 6-5, 190
"Bob Schafer", 75, 6-3, 195
"Dolph Schayes", 79, 6-7, 195
"Dick Schnittker", 77, 6-5, 200
"Kenny Sears", 81, 6-9, 198
"Frank Selvy", 75, 6-3, 180
"Paul Seymour", 73, 6-1, 180
"Chuck Share", 83, 6-11, 235
"Bill Sharman", 73, 6-1, 175
"Gene Shue", 74, 6-2, 170
"Connie Simmons", 80, 6-8, 222
"Whitey Skoog", 71, 5-11, 180
"Odie Spears", 77, 6-5, 205
"Art Spoelstra", 81, 6-9, 220
"Jack Stephens", 75, 6-3, 185
"Maurice Stokes", 79, 6-7, 232
"Jim Tucker", 79, 6-7, 185
"Jack Twyman", 78, 6-6, 210
"Ernie Vandeweghe", 75, 6-3, 195
"Bobby Wanzer", 72, 6-0, 170
"Bob Williams", 78, 6-6, 230
"George Yardley", 77, 6-5, 190
"Max Zaslofsky", 74, 6-2, 170
