"Name", Height (Inches), Height(Feet-Inches), Weight
"Mahmoud Abdul-Rauf", 73, 6-1, 162
"Tariq Abdul-Wahad", 78, 6-6, 223
"Shareef Abdur-Rahim", 81, 6-9, 225
"Cory Alexander", 73, 6-1, 185
"Ray Allen", 77, 6-5, 205
"Derek Anderson", 77, 6-5, 194
"Greg Anderson", 82, 6-10, 230
"Kenny Anderson", 72, 6-0, 168
"Nick Anderson", 78, 6-6, 205
"Shandon Anderson", 78, 6-6, 208
"Chris Anstey", 84, 7-0, 249
"Greg Anthony", 72, 6-0, 176
"B.J. Armstrong", 74, 6-2, 175
"Darrell Armstrong", 72, 6-0, 170
"Vincent Askew", 78, 6-6, 210
"Keith Askins", 79, 6-7, 197
"Stacey Augmon", 78, 6-6, 205
"Isaac Austin", 82, 6-10, 255
"Vin Baker", 83, 6-11, 232
"Charles Barkley", 78, 6-6, 252
"Dana Barros", 71, 5-11, 163
"Brent Barry", 78, 6-6, 185
"Drew Barry", 77, 6-5, 191
"Jon Barry", 76, 6-4, 195
"Tony Battie", 83, 6-11, 230
"Corey Beck", 73, 6-1, 190
"Benoit Benjamin", 84, 7-0, 250
"Mario Bennett", 78, 6-6, 235
"David Benoit", 80, 6-8, 220
"Travis Best", 71, 5-11, 182
"Chauncey Billups", 75, 6-3, 202
"Mookie Blaylock", 72, 6-0, 180
"Corie Blount", 81, 6-9, 240
"Muggsy Bogues", 63, 5-3, 136
"Etdrick Bohannon", 81, 6-9, 220
"Keith Booth", 78, 6-6, 226
"Bruce Bowen", 79, 6-7, 185
"Anthony Bowie", 78, 6-6, 190
"Shawn Bradley", 90, 7-6, 235
"Terrell Brandon", 71, 5-11, 180
"Tim Breaux", 79, 6-7, 215
"Scott Brooks", 71, 5-11, 165
"Chucky Brown", 79, 6-7, 214
"Dee Brown", 73, 6-1, 160
"P.J. Brown", 83, 6-11, 225
"Randy Brown", 74, 6-2, 190
"Rick Brunson", 76, 6-4, 190
"Kobe Bryant", 78, 6-6, 200
"Mark Bryant", 81, 6-9, 245
"Jud Buechler", 78, 6-6, 220
"Matt Bullard", 82, 6-10, 215
"Scott Burrell", 79, 6-7, 218
"Willie Burton", 80, 6-8, 210
"Mitchell Butler", 77, 6-5, 210
"Jason Caffey", 80, 6-8, 255
"Michael Cage", 81, 6-9, 224
"Adrian Caldwell", 80, 6-8, 265
"Marcus Camby", 83, 6-11, 220
"Elden Campbell", 83, 6-11, 215
"Antoine Carr", 81, 6-9, 225
"Chris Carr", 77, 6-5, 207
"Sam Cassell", 75, 6-3, 185
"Kelvin Cato", 83, 6-11, 255
"Duane Causwell", 84, 7-0, 240
"Cedric Ceballos", 78, 6-6, 190
"Tom Chambers", 82, 6-10, 220
"Rex Chapman", 76, 6-4, 185
"Calbert Cheaney", 79, 6-7, 209
"Pete Chilcutt", 82, 6-10, 230
"Chris Childs", 75, 6-3, 195
"Doug Christie", 78, 6-6, 200
"Keith Closs", 87, 7-3, 212
"Derrick Coleman", 82, 6-10, 230
"Bimbo Coles", 73, 6-1, 180
