"Name", Height (Inches), Height(Feet-Inches), Weight
"Paul Arizin", 76, 6-4, 190
"Dick Atha", 74, 6-2, 190
"Ernie Beck", 76, 6-4, 190
"Al Bianchi", 75, 6-3, 185
"Doug Bolstorff", 76, 6-4, 195
"Carl Braun", 77, 6-5, 180
"George Brown", 78, 6-6, 190
"Bob Burrow", 79, 6-7, 228
"Nathaniel Clifton", 78, 6-6, 220
"Jack Coleman", 79, 6-7, 195
"Ed Conlin", 77, 6-5, 200
"Larry Costello", 73, 6-1, 186
"Bob Cousy", 73, 6-1, 175
"Walt Davis", 80, 6-8, 205
"George Dempsey", 74, 6-2, 190
"Corky Devlin", 77, 6-5, 195
"Dick Duckett", 73, 6-1, 185
"Walter Dukes", 84, 7-0, 220
"Pat Dunn", 74, 6-2, 170
"Bill Ebben", 76, 6-4, 190
"Bo Erias", 75, 6-3, 220
"Ray Felix", 83, 6-11, 220
"Ed Fleming", 75, 6-3, 189
"Larry Foust", 81, 6-9, 215
"Larry Friend", 76, 6-4, 185
"Harry Gallatin", 78, 6-6, 210
"Dick Garmaker", 75, 6-3, 200
"Jack George", 74, 6-2, 190
"Tom Gola", 78, 6-6, 205
"Joe Graboski", 79, 6-7, 195
"Richie Guerin", 76, 6-4, 195
"Cliff Hagan", 76, 6-4, 210
"Bob Harrison", 73, 6-1, 190
"Tom Heinsohn", 79, 6-7, 218
"Joe Holup", 78, 6-6, 215
"Bob Hopkins", 80, 6-8, 205
"Bob Houbregs", 79, 6-7, 210
"Hot Rod Hundley", 76, 6-4, 185
"Mel Hutchins", 78, 6-6, 200
"McCoy Ingram", 80, 6-8, 210
"Neil Johnston", 80, 6-8, 210
"Sam Jones", 76, 6-4, 198
"Phil Jordon", 82, 6-10, 205
"Billy Kenville", 74, 6-2, 187
"Red Kerr", 81, 6-9, 230
"George King", 72, 6-0, 175
"Jim Krebs", 80, 6-8, 230
"Slick Leonard", 75, 6-3, 185
"Earl Lloyd", 77, 6-5, 200
"Jim Loscutoff", 77, 6-5, 220
"Clyde Lovellette", 81, 6-9, 234
"Ed Macauley", 80, 6-8, 185
"Tom Marshall", 76, 6-4, 215
"Slater Martin", 70, 5-10, 170
"Brendan McCann", 74, 6-2, 178
"Dick McGuire", 72, 6-0, 180
"Jack McMahon", 73, 6-1, 185
"Monk Meineke", 79, 6-7, 208
"Vern Mikkelsen", 79, 6-7, 230
"Red Morrison", 80, 6-8, 220
"Willie Naulls", 78, 6-6, 225
"Jack Nichols", 79, 6-7, 222
"Chuck Noble", 76, 6-4, 190
"Togo Palazzi", 76, 6-4, 205
"Med Park", 74, 6-2, 205
"Worthy Patterson", 74, 6-2, 175
"Jerry Paulson", 74, 6-2, 185
"Jim Paxson", 78, 6-6, 200
"Bob Pettit", 81, 6-9, 205
"Andy Phillip", 74, 6-2, 195
"Dave Piontek", 78, 6-6, 230
"Ray Radziszewski", 77, 6-5, 210
"Frank Ramsey", 75, 6-3, 190
"Richie Regan", 74, 6-2, 180
"Dick Ricketts", 79, 6-7, 215
"Arnie Risen", 81, 6-9, 200
"Lennie Rosenbluth", 76, 6-4, 190
"Bill Russell", 82, 6-10, 215
"Woody Sauldsberry", 79, 6-7, 220
"Dolph Schayes", 79, 6-7, 195
"Dick Schnittker", 77, 6-5, 200
"Kenny Sears", 81, 6-9, 198
"Frank Selvy", 75, 6-3, 180
"Paul Seymour", 73, 6-1, 180
"Chuck Share", 83, 6-11, 235
"Bill Sharman", 73, 6-1, 175
"Ron Shavlik", 80, 6-8, 200
"Gene Shue", 74, 6-2, 170
"Ron Sobie", 75, 6-3, 185
"Guy Sparrow", 78, 6-6, 218
"Art Spoelstra", 81, 6-9, 220
"Maurice Stokes", 79, 6-7, 232
"Bill Thieben", 79, 6-7, 215
"Lou Tsioropoulos", 77, 6-5, 190
"Jack Twyman", 78, 6-6, 210
"Charlie Tyra", 80, 6-8, 230
"Jim Walsh", 76, 6-4, 195
"Win Wilfong", 74, 6-2, 185
"George Yardley", 77, 6-5, 190
