"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Mahdi Abdul-Rahman", 74, 6-2, 185
"Don Adams", 78, 6-6, 210
"Rick Adelman", 73, 6-1, 175
"Lucius Allen", 74, 6-2, 175
"Odis Allison", 78, 6-6, 195
"Tiny Archibald", 73, 6-1, 150
"Dennis Awtrey", 82, 6-10, 235
"Dick Barnett", 76, 6-4, 190
"Jim Barnett", 76, 6-4, 170
"Vic Bartolome", 84, 7-0, 230
"Elgin Baylor", 77, 6-5, 225
"Butch Beard", 75, 6-3, 185
"Walt Bellamy", 83, 6-11, 225
"Dave Bing", 75, 6-3, 180
"John Block", 81, 6-9, 207
"Tom Boerwinkle", 84, 7-0, 265
"Bill Bradley", 77, 6-5, 205
"Bill Bridges", 78, 6-6, 228
"Fred Brown", 75, 6-3, 182
"Em Bryant", 73, 6-1, 175
"Austin Carr", 76, 6-4, 200
"Fred Carter", 75, 6-3, 185
"Sid Catlett", 78, 6-6, 230
"Wilt Chamberlain", 85, 7-1, 275
"Jerry Chambers", 77, 6-5, 185
"Don Chaney", 77, 6-5, 210
"Phil Chenier", 75, 6-3, 180
"Bob Christian", 82, 6-10, 255
"Archie Clark", 74, 6-2, 175
"Jim Cleamons", 75, 6-3, 185
"Barry Clemens", 78, 6-6, 210
"Jimmy Collins", 74, 6-2, 175
"Mel Counts", 84, 7-0, 230
"Dave Cowens", 81, 6-9, 230
"Pete Cross", 81, 6-9, 230
"Billy Cunningham", 78, 6-6, 210
"Dick Cunningham", 82, 6-10, 245
"Bob Dandridge", 78, 6-6, 195
"Charlie Davis", 74, 6-2, 160
"Jim Davis", 81, 6-9, 225
"Mike Davis", 75, 6-3, 185
"Dave DeBusschere", 78, 6-6, 220
"Jackie Dinkins", 77, 6-5, 210
"Bill Dinwiddie", 79, 6-7, 220
"Terry Dischinger", 79, 6-7, 189
"Terry Driscoll", 79, 6-7, 215
"Ken Durrett", 79, 6-7, 190
"Johnny Egan", 71, 5-11, 180
"Joe Ellis", 78, 6-6, 175
"Leroy Ellis", 82, 6-10, 210
"Keith Erickson", 77, 6-5, 195
"Greg Fillmore", 85, 7-1, 240
"Hank Finkel", 84, 7-0, 240
"Jake Ford", 75, 6-3, 180
"Fred Foster", 77, 6-5, 210
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"Dick Garrett", 75, 6-3, 185
"Dick Gibbs", 77, 6-5, 210
"Herm Gilliam", 75, 6-3, 190
"Clarence Glover", 80, 6-8, 210
"Gail Goodrich", 73, 6-1, 170
"Johnny Green", 77, 6-5, 200
"Lamar Green", 79, 6-7, 210
"Hal Greer", 74, 6-2, 175
"Gary Gregor", 79, 6-7, 225
"Matt Guokas", 77, 6-5, 175
"Happy Hairston", 79, 6-7, 225
"Shaler Halimon", 77, 6-5, 199
"Jeff Halliburton", 77, 6-5, 193
"Art Harris", 76, 6-4, 185
"Clem Haskins", 75, 6-3, 195
"John Havlicek", 77, 6-5, 203
"Connie Hawkins", 80, 6-8, 210
"Elvin Hayes", 81, 6-9, 235
"Spencer Haywood", 80, 6-8, 225
"Gar Heard", 78, 6-6, 219
"Al Henry", 81, 6-9, 190
"Bill Hewitt", 79, 6-7, 210
"Fred Hilton", 75, 6-3, 185
"Bill Hosket", 80, 6-8, 225
"Greg Howard", 81, 6-9, 215
"Lou Hudson", 77, 6-5, 210
"John Hummer", 81, 6-9, 230
"Darrall Imhoff", 82, 6-10, 220
"Luke Jackson", 81, 6-9, 240
"Phil Jackson", 80, 6-8, 220
"Gus Johnson", 78, 6-6, 230
"John Johnson", 79, 6-7, 200
"Jake Jones", 75, 6-3, 180
"Nick Jones", 74, 6-2, 190
"Wali Jones", 74, 6-2, 180
"Bob Kauffman", 80, 6-8, 240
"Toby Kimball", 78, 6-6, 220
"Jim King", 74, 6-2, 175
"Ron Knight", 79, 6-7, 215
"Don Kojis", 77, 6-5, 215
"Howard Komives", 73, 6-1, 185
"Steve Kuberski", 80, 6-8, 215
"Sam Lacey", 82, 6-10, 235
"Bob Lanier", 83, 6-11, 250
"Stu Lantz", 75, 6-3, 175
"Mo Layton", 73, 6-1, 180
"Clyde Lee", 82, 6-10, 205
"Kevin Loughery", 75, 6-3, 190
"Bob Love", 80, 6-8, 215
"Stan Love", 81, 6-9, 215
"Charlie Lowery", 75, 6-3, 185
"Jerry Lucas", 80, 6-8, 230
"Pete Maravich", 77, 6-5, 197
"Jack Marin", 79, 6-7, 200
"Harvey Marlatt", 75, 6-3, 185
"Jim Marsh", 79, 6-7, 215
"Eddie Mast", 81, 6-9, 220
"Don May", 76, 6-4, 200
"Willie McCarter", 75, 6-3, 175
"Jim McDaniels", 83, 6-11, 228
"Jon McGlocklin", 77, 6-5, 205
"Gil McGregor", 80, 6-8, 240
"Kenny McIntosh", 79, 6-7, 225
"Stan McKenzie", 77, 6-5, 195
"McCoy McLemore", 79, 6-7, 230
"Jim McMillian", 77, 6-5, 215
"Cliff Meely", 80, 6-8, 215
"Dean Meminger", 72, 6-0, 175
"John Mengelt", 74, 6-2, 195
"Eddie Miles", 76, 6-4, 195
"Steve Mix", 79, 6-7, 215
"Earl Monroe", 75, 6-3, 185
"Otto Moore", 83, 6-11, 205
"Rex Morgan", 77, 6-5, 190
"Erwin Mueller", 80, 6-8, 230
"Jeff Mullins", 76, 6-4, 190
"Calvin Murphy", 69, 5-9, 165
"Dorie Murrey", 80, 6-8, 215
"Barry Nelson", 82, 6-10, 230
"Don Nelson", 78, 6-6, 210
"Mike Newlin", 76, 6-4, 200
"Willie Norwood", 79, 6-7, 220
"Steve Patterson", 81, 6-9, 225
"Charlie Paulk", 80, 6-8, 219
"Tom Payne", 86, 7-2, 240
"Curtis Perry", 79, 6-7, 220
"Geoff Petrie", 76, 6-4, 190
"Howard Porter", 80, 6-8, 220
"Bob Portman", 77, 6-5, 200
"Mike Price", 75, 6-3, 200
"Bob Quick", 77, 6-5, 215
"Luther Rackley", 82, 6-10, 220
"Clifford Ray", 81, 6-9, 230
"Willis Reed", 81, 6-9, 235
