"Name", Height (Inches), Height(Feet-Inches), Weight
"Al Attles", 72, 6-0, 175
"Dick Barnett", 76, 6-4, 190
"John Barnhill", 73, 6-1, 180
"Elgin Baylor", 77, 6-5, 225
"Zelmo Beaty", 81, 6-9, 225
"Walt Bellamy", 83, 6-11, 225
"Al Bianchi", 75, 6-3, 185
"Bucky Bockhorn", 76, 6-4, 200
"Bob Boozer", 80, 6-8, 215
"Bill Bridges", 78, 6-6, 228
"Joe Buckhalter", 79, 6-7, 210
"Cleveland Buckner", 81, 6-9, 210
"Dave Budd", 78, 6-6, 205
"Donnie Butcher", 74, 6-2, 200
"Al Butler", 74, 6-2, 175
"Barney Cable", 79, 6-7, 175
"Wilt Chamberlain", 85, 7-1, 275
"Len Chappell", 80, 6-8, 240
"Gene Conley", 80, 6-8, 225
"Larry Costello", 73, 6-1, 186
"Bob Cousy", 73, 6-1, 175
"Johnny Cox", 76, 6-4, 180
"Dave DeBusschere", 78, 6-6, 220
"Terry Dischinger", 79, 6-7, 189
"Danny Doyle", 80, 6-8, 200
"Bob Duffy", 75, 6-3, 185
"Walter Dukes", 84, 7-0, 220
"Johnny Egan", 71, 5-11, 180
"Leroy Ellis", 82, 6-10, 210
"Wayne Embry", 80, 6-8, 240
"Mike Farmer", 79, 6-7, 210
"Dave Fedor", 78, 6-6, 190
"Al Ferrari", 76, 6-4, 190
"Bob Ferry", 80, 6-8, 230
"Jack Foley", 75, 6-3, 170
"Dave Gambee", 78, 6-6, 215
"Tom Gola", 78, 6-6, 205
"Johnny Green", 77, 6-5, 200
"Si Green", 74, 6-2, 185
"Hal Greer", 74, 6-2, 175
"Gene Guarilia", 77, 6-5, 220
"Richie Guerin", 76, 6-4, 195
"Dave Gunther", 79, 6-7, 190
"Cliff Hagan", 76, 6-4, 210
"Charlie Hardnett", 80, 6-8, 225
"John Havlicek", 77, 6-5, 203
"Tom Hawkins", 77, 6-5, 210
"Tom Heinsohn", 79, 6-7, 218
"Wayne Hightower", 80, 6-8, 192
"Paul Hogue", 81, 6-9, 240
"Ron Horn", 79, 6-7, 220
"Bailey Howell", 79, 6-7, 210
"Hot Rod Hundley", 76, 6-4, 185
"Darrall Imhoff", 82, 6-10, 220
"Howie Jolliff", 79, 6-7, 218
"K.C. Jones", 73, 6-1, 200
"Sam Jones", 76, 6-4, 198
"Willie Jones", 75, 6-3, 185
"Phil Jordon", 82, 6-10, 205
"Red Kerr", 81, 6-9, 230
"Maury King", 74, 6-2, 195
"Jim Krebs", 80, 6-8, 230
"Fred LaCour", 77, 6-5, 210
"Rudy LaRusso", 79, 6-7, 220
"George Lee", 76, 6-4, 200
"Slick Leonard", 75, 6-3, 185
"Jim Loscutoff", 77, 6-5, 220
"Kevin Loughery", 75, 6-3, 190
"Clyde Lovellette", 81, 6-9, 234
"Ted Luckenbill", 78, 6-6, 205
"Nick Mantis", 75, 6-3, 190
"Bill McGill", 81, 6-9, 225
"Porter Meriwether", 74, 6-2, 180
"Tom Meschery", 78, 6-6, 215
"Howie Montgomery", 77, 6-5, 220
"Jackie Moreland", 79, 6-7, 215
"Willie Naulls", 78, 6-6, 225
"Don Nelson", 78, 6-6, 210
"Paul Neumann", 73, 6-1, 175
"Bevo Nordmann", 82, 6-10, 225
"Mel Nowell", 74, 6-2, 170
"Don Ohl", 75, 6-3, 190
"Bud Olsen", 80, 6-8, 220
"Bob Pettit", 81, 6-9, 205
"Gary Phillips", 75, 6-3, 189
"Dave Piontek", 78, 6-6, 230
"Frank Ramsey", 75, 6-3, 190
"Hub Reed", 81, 6-9, 215
"Joe Roberts", 78, 6-6, 214
"Oscar Robertson", 77, 6-5, 205
"Guy Rodgers", 72, 6-0, 185
"John Rudometkin", 78, 6-6, 205
"Bill Russell", 82, 6-10, 215
"Tom Sanders", 78, 6-6, 210
"Woody Sauldsberry", 79, 6-7, 220
"Dolph Schayes", 79, 6-7, 195
"Ray Scott", 81, 6-9, 215
"Kenny Sears", 81, 6-9, 198
"Frank Selvy", 75, 6-3, 180
"Lee Shaffer", 79, 6-7, 220
"Gene Shue", 74, 6-2, 170
"Jeff Slade", 78, 6-6, 220
"Adrian Smith", 73, 6-1, 180
"Larry Staverman", 79, 6-7, 205
"Tom Stith", 77, 6-5, 210
"Dan Swartz", 76, 6-4, 215
"Dan Tieman", 72, 6-0, 185
"Gene Tormohlen", 80, 6-8, 230
"Jack Twyman", 78, 6-6, 210
"Chico Vaughn", 74, 6-2, 190
"Chet Walker", 78, 6-6, 212
"Ben Warley", 77, 6-5, 200
"Ralph Wells", 73, 6-1, 180
"Jerry West", 74, 6-2, 175
"Hubie White", 76, 6-4, 205
"Gene Wiley", 82, 6-10, 210
"Lenny Wilkens", 73, 6-1, 180
