"Name", Height (Inches), Height(Feet-Inches), Weight
"Don Anielak", 79, 6-7, 190
"Paul Arizin", 76, 6-4, 190
"Jim Baechtold", 76, 6-4, 205
"Don Barksdale", 78, 6-6, 200
"Bob Brannum", 77, 6-5, 215
"Carl Braun", 77, 6-5, 180
"Tom Brennan", 75, 6-3, 195
"Frankie Brian", 73, 6-1, 180
"Bill Calhoun", 75, 6-3, 180
"Bob Carney", 75, 6-3, 170
"Fred Christ", 76, 6-4, 210
"Cal Christensen", 77, 6-5, 210
"Nathaniel Clifton", 78, 6-6, 220
"Jack Coleman", 79, 6-7, 195
"Bert Cook", 75, 6-3, 185
"Chuck Cooper", 77, 6-5, 210
"Larry Costello", 73, 6-1, 186
"Bob Cousy", 73, 6-1, 175
"Bob Davies", 73, 6-1, 175
"Walt Davis", 80, 6-8, 205
"George Dempsey", 74, 6-2, 190
"Fred Diute", 75, 6-3, 210
"Dick Farley", 76, 6-4, 190
"Ray Felix", 83, 6-11, 220
"Danny Finn", 73, 6-1, 185
"Larry Foust", 81, 6-9, 215
"Jim Fritsche", 80, 6-8, 210
"Bill Gabor", 71, 5-11, 170
"Harry Gallatin", 78, 6-6, 210
"Jack George", 74, 6-2, 190
"Joe Graboski", 79, 6-7, 195
"Chuck Grigsby", 77, 6-5, 190
"Alex Hannum", 79, 6-7, 210
"Rollen Hans", 74, 6-2, 210
"Bob Harrison", 73, 6-1, 190
"Herm Hedderick", 77, 6-5, 170
"Don Henriksen", 79, 6-7, 225
"Lew Hitch", 80, 6-8, 200
"Paul Hoffman", 74, 6-2, 195
"Jim Holstein", 75, 6-3, 180
"Bob Houbregs", 79, 6-7, 210
"Mel Hutchins", 78, 6-6, 200
"Neil Johnston", 80, 6-8, 210
"Ed Kalafat", 78, 6-6, 245
"Mike Kearns", 74, 6-2, 178
"Billy Kenville", 74, 6-2, 187
"Red Kerr", 81, 6-9, 230
"Dan King", 78, 6-6, 220
"George King", 72, 6-0, 175
"Bob Knight", 74, 6-2, 185
"Earl Lloyd", 77, 6-5, 200
"Clyde Lovellette", 81, 6-9, 234
"Ed Macauley", 80, 6-8, 185
"Ronnie MacGilvray", 74, 6-2, 185
"Tom Marshall", 76, 6-4, 215
"Phil Martin", 75, 6-3, 190
"Slater Martin", 70, 5-10, 170
"Ken McBride", 75, 6-3, 190
"Alfred McGuire", 74, 6-2, 180
"Dick McGuire", 72, 6-0, 180
"Jack McMahon", 73, 6-1, 185
"Carl McNulty", 75, 6-3, 185
"Monk Meineke", 79, 6-7, 208
"Vern Mikkelsen", 79, 6-7, 230
"Jackie Moore", 77, 6-5, 180
"Red Morrison", 80, 6-8, 220
"Ken Murray", 74, 6-2, 190
"Boris Nachamkin", 78, 6-6, 210
"Jim Neal", 83, 6-11, 235
"Jack Nichols", 79, 6-7, 222
"Wally Osterkorn", 77, 6-5, 215
"Togo Palazzi", 76, 6-4, 205
"Bob Peterson", 77, 6-5, 210
"Bob Pettit", 81, 6-9, 205
"Andy Phillip", 74, 6-2, 195
"Jim Pollard", 76, 6-4, 185
"Frank Ramsey", 75, 6-3, 190
"George Ratkovicz", 78, 6-6, 220
"Arnie Risen", 81, 6-9, 200
"Red Rocha", 81, 6-9, 185
"Al Roges", 76, 6-4, 195
"Dick Rosenthal", 77, 6-5, 205
"Pep Saul", 74, 6-2, 185
"Dolph Schayes", 79, 6-7, 195
"Dick Schnittker", 77, 6-5, 200
"Fred Scolari", 70, 5-10, 180
"Frank Selvy", 75, 6-3, 180
"Paul Seymour", 73, 6-1, 180
"Chuck Share", 83, 6-11, 235
"Bill Sharman", 73, 6-1, 175
"Gene Shue", 74, 6-2, 170
"Connie Simmons", 80, 6-8, 222
"Whitey Skoog", 71, 5-11, 180
"Odie Spears", 77, 6-5, 205
"Art Spoelstra", 81, 6-9, 220
"Don Sunderlage", 73, 6-1, 180
"Jim Tucker", 79, 6-7, 185
"Jack Turner", 76, 6-4, 170
"Paul Walther", 74, 6-2, 160
"Bobby Wanzer", 72, 6-0, 170
"Bobby Watson", 72, 6-0, 160
"Skippy Whitaker", 73, 6-1, 180
"George Yardley", 77, 6-5, 190
"Max Zaslofsky", 74, 6-2, 170
"Zeke Zawoluk", 79, 6-7, 215
