"Name", Height (Inches), Height(Feet-Inches), Weight
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Alvan Adams", 81, 6-9, 210
"Michael Adams", 70, 5-10, 162
"Mark Aguirre", 78, 6-6, 232
"Danny Ainge", 76, 6-4, 175
"Ron Anderson", 79, 6-7, 215
"John Bagley", 72, 6-0, 185
"James Bailey", 81, 6-9, 220
"Thurl Bailey", 83, 6-11, 215
"Greg Ballard", 79, 6-7, 215
"Gene Banks", 79, 6-7, 215
"Ken Bannister", 81, 6-9, 235
"Charles Barkley", 78, 6-6, 252
"John Battle", 74, 6-2, 175
"Benoit Benjamin", 84, 7-0, 250
"Kent Benson", 82, 6-10, 235
"Larry Bird", 81, 6-9, 220
"Otis Birdsong", 75, 6-3, 190
"Uwe Blab", 85, 7-1, 252
"Rolando Blackman", 78, 6-6, 190
"Manute Bol", 91, 7-7, 200
"Sam Bowie", 85, 7-1, 235
"Dudley Bradley", 78, 6-6, 195
"Mike Bratz", 74, 6-2, 185
"Randy Breuer", 87, 7-3, 230
"Ron Brewer", 76, 6-4, 180
"Frank Brickowski", 81, 6-9, 240
"Junior Bridgeman", 77, 6-5, 210
"Mike Brittain", 84, 7-0, 235
"Tony Brown", 78, 6-6, 185
"Wallace Bryant", 84, 7-0, 245
"Quinn Buckner", 75, 6-3, 190
"Michael Cage", 81, 6-9, 224
"Tony Campbell", 79, 6-7, 215
"Rick Carlisle", 77, 6-5, 210
"Antoine Carr", 81, 6-9, 225
"Kenny Carr", 79, 6-7, 220
"Joe Barry Carroll", 84, 7-0, 225
"Butch Carter", 77, 6-5, 180
"Bill Cartwright", 85, 7-1, 245
"Terry Catledge", 80, 6-8, 220
"Bobby Cattage", 81, 6-9, 250
"Tom Chambers", 82, 6-10, 220
"Lorenzo Charles", 79, 6-7, 225
"Maurice Cheeks", 73, 6-1, 180
"Fred Cofield", 75, 6-3, 190
"Steve Colter", 75, 6-3, 165
"Lester Conner", 76, 6-4, 180
"Darwin Cook", 75, 6-3, 184
"Jeff Cook", 82, 6-10, 215
"David Cooke", 80, 6-8, 230
"Michael Cooper", 77, 6-5, 170
"Wayne Cooper", 82, 6-10, 220
"Tyrone Corbin", 78, 6-6, 210
"Dave Corzine", 83, 6-11, 250
"Ron Crevier", 84, 7-0, 235
"Jeff Cross", 82, 6-10, 240
"Pat Cummings", 81, 6-9, 230
"Terry Cummings", 81, 6-9, 220
"Earl Cureton", 81, 6-9, 210
"Quintin Dailey", 75, 6-3, 180
"Adrian Dantley", 77, 6-5, 208
"Brad Davis", 75, 6-3, 180
"Charles Davis", 79, 6-7, 215
"Johnny Davis", 74, 6-2, 170
"Walter Davis", 78, 6-6, 193
"Darryl Dawkins", 83, 6-11, 251
"Darren Daye", 80, 6-8, 220
"James Donaldson", 86, 7-2, 275
"Larry Drew", 73, 6-1, 170
"Clyde Drexler", 79, 6-7, 210
"Joe Dumars", 75, 6-3, 190
"T.R. Dunn", 76, 6-4, 192
"Devin Durrant", 79, 6-7, 200
"Mark Eaton", 88, 7-4, 275
