"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Alvan Adams", 81, 6-9, 210
"Don Adams", 78, 6-6, 210
"Lucius Allen", 74, 6-2, 175
"Dan Anderson", 74, 6-2, 185
"Jerome Anderson", 77, 6-5, 195
"Tiny Archibald", 73, 6-1, 150
"Jim Ard", 80, 6-8, 215
"Dennis Awtrey", 82, 6-10, 235
"Gus Bailey", 77, 6-5, 185
"Mike Bantom", 81, 6-9, 200
"Jim Barnett", 76, 6-4, 170
"Rick Barry", 79, 6-7, 205
"Jerry Baskerville", 79, 6-7, 190
"Butch Beard", 75, 6-3, 185
"Ron Behagen", 81, 6-9, 185
"Dennis Bell", 77, 6-5, 185
"Leon Benbow", 76, 6-4, 185
"Henry Bibby", 73, 6-1, 185
"Bob Bigelow", 79, 6-7, 215
"Dave Bing", 75, 6-3, 180
"John Block", 81, 6-9, 207
"Tom Boerwinkle", 84, 7-0, 265
"Tom Boswell", 81, 6-9, 220
"Freddie Boyd", 74, 6-2, 180
"Bill Bradley", 77, 6-5, 205
"Jim Brewer", 81, 6-9, 210
"Junior Bridgeman", 77, 6-5, 210
"Gary Brokaw", 76, 6-4, 178
"Fred Brown", 75, 6-3, 182
"John Brown", 79, 6-7, 220
"Roger Brown", 83, 6-11, 225
"Joe Bryant", 81, 6-9, 185
"Tom Burleson", 86, 7-2, 225
"Corky Calhoun", 79, 6-7, 210
"Al Carlson", 83, 6-11, 235
"Austin Carr", 76, 6-4, 200
"Fred Carter", 75, 6-3, 185
"Harvey Catchings", 81, 6-9, 218
"Ken Charles", 75, 6-3, 180
"Phil Chenier", 75, 6-3, 180
"Jim Chones", 83, 6-11, 220
"Archie Clark", 74, 6-2, 175
"Jim Cleamons", 75, 6-3, 185
"Barry Clemens", 78, 6-6, 210
"E.C. Coleman", 80, 6-8, 225
"Doug Collins", 78, 6-6, 180
"Mel Counts", 84, 7-0, 230
"Dave Cowens", 81, 6-9, 230
"Jim Creighton", 80, 6-8, 200
"Billy Cunningham", 78, 6-6, 210
"Mike D'Antoni", 75, 6-3, 185
"Bob Dandridge", 78, 6-6, 195
"Dwight Davis", 80, 6-8, 220
"Mel Davis", 78, 6-6, 220
"Mickey Davis", 79, 6-7, 195
"Darryl Dawkins", 83, 6-11, 251
"Rod Derline", 72, 6-0, 175
"Henry Dickerson", 76, 6-4, 190
"Derrek Dickey", 79, 6-7, 218
"Ernie DiGregorio", 72, 6-0, 180
"John Drew", 78, 6-6, 205
"Charles Dudley", 74, 6-2, 180
"Dennis DuVal", 75, 6-3, 175
"Al Eberhard", 78, 6-6, 225
"Leroy Ellis", 82, 6-10, 210
"Keith Erickson", 77, 6-5, 195
"Eric Fernsten", 82, 6-10, 205
"Larry Fogle", 77, 6-5, 205
"Chris Ford", 77, 6-5, 190
"Don Ford", 81, 6-9, 215
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"World B. Free", 74, 6-2, 185
"Donnie Freeman", 75, 6-3, 185
"Rowland Garrett", 78, 6-6, 210
"John Gianelli", 82, 6-10, 220
"Dick Gibbs", 77, 6-5, 210
"Herm Gilliam", 75, 6-3, 190
"Gail Goodrich", 73, 6-1, 170
"Leonard Gray", 80, 6-8, 240
"Kevin Grevey", 77, 6-5, 210
"Bob Gross", 78, 6-6, 200
"Matt Guokas", 77, 6-5, 175
"Lindsay Hairston", 79, 6-7, 180
"Glenn Hansen", 76, 6-4, 205
"Clem Haskins", 75, 6-3, 195
"John Havlicek", 77, 6-5, 203
"Steve Hawes", 81, 6-9, 220
"Connie Hawkins", 80, 6-8, 210
"Robert Hawkins", 76, 6-4, 190
"Nate Hawthorne", 76, 6-4, 190
"Elvin Hayes", 81, 6-9, 235
"Spencer Haywood", 80, 6-8, 225
"Gar Heard", 78, 6-6, 219
"Tom Henderson", 75, 6-3, 190
"Wilbur Holland", 72, 6-0, 175
"Lionel Hollins", 75, 6-3, 185
"Lou Hudson", 77, 6-5, 210
"John Hummer", 81, 6-9, 230
"Phil Jackson", 80, 6-8, 220
"Aaron James", 80, 6-8, 210
"Charles Johnson", 72, 6-0, 170
"George Johnson", 83, 6-11, 205
"John Johnson", 79, 6-7, 200
"Mickey Johnson", 82, 6-10, 190
"Ollie Johnson", 78, 6-6, 200
"Dwight Jones", 82, 6-10, 210
"Jimmy Jones", 76, 6-4, 188
"Steve Jones", 77, 6-5, 205
"Wali Jones", 74, 6-2, 180
"Rich Kelley", 84, 7-0, 235
"Len Kosmalski", 84, 7-0, 245
"Tom Kozelko", 80, 6-8, 220
"Tom Kropp", 75, 6-3, 205
"Steve Kuberski", 80, 6-8, 215
"Kevin Kunnert", 84, 7-0, 230
"C.J. Kupec", 78, 6-6, 220
"Sam Lacey", 82, 6-10, 235
"John Lambert", 82, 6-10, 225
"Bob Lanier", 83, 6-11, 250
"Stu Lantz", 75, 6-3, 175
"John Laskowski", 78, 6-6, 185
"Clyde Lee", 82, 6-10, 205
"Greg Lee", 75, 6-3, 190
"Bob Love", 80, 6-8, 215
"Phil Lumpkin", 72, 6-0, 165
"Pete Maravich", 77, 6-5, 197
"Jack Marin", 79, 6-7, 200
"LaRue Martin", 83, 6-11, 208
"Clyde Mayes", 80, 6-8, 225
"Ken Mayfield", 74, 6-2, 185
"Bob McAdoo", 81, 6-9, 210
"Jim McDaniels", 83, 6-11, 228
"Glenn McDonald", 78, 6-6, 190
"Jim McElroy", 75, 6-3, 190
"George McGinnis", 80, 6-8, 235
"Jon McGlocklin", 77, 6-5, 205
"Tom McMillen", 83, 6-11, 215
"Jim McMillian", 77, 6-5, 215
"Larry McNeill", 81, 6-9, 195
"Cliff Meely", 80, 6-8, 215
"Dean Meminger", 72, 6-0, 175
"John Mengelt", 74, 6-2, 195
"Joe Meriweather", 82, 6-10, 215
"Dave Meyers", 80, 6-8, 215
"Steve Mix", 79, 6-7, 215
"Eric Money", 72, 6-0, 170
"Earl Monroe", 75, 6-3, 185
"Otto Moore", 83, 6-11, 205
"Jeff Mullins", 76, 6-4, 190
