"Name", Height (Inches), Height(Feet-Inches), Weight
"Forest Able", 75, 6-3, 180
"Paul Arizin", 76, 6-4, 190
"Bob Armstrong", 80, 6-8, 220
"Jim Baechtold", 76, 6-4, 205
"John Barber", 78, 6-6, 210
"Ernie Beck", 76, 6-4, 190
"Irv Bemoras", 75, 6-3, 185
"Gary Bergen", 80, 6-8, 210
"Al Bianchi", 75, 6-3, 185
"Carl Braun", 77, 6-5, 180
"Bob Burrow", 79, 6-7, 228
"Nathaniel Clifton", 78, 6-6, 220
"Jack Coleman", 79, 6-7, 195
"Ed Conlin", 77, 6-5, 200
"Larry Costello", 73, 6-1, 186
"Bob Cousy", 73, 6-1, 175
"Walt Davis", 80, 6-8, 205
"George Dempsey", 74, 6-2, 190
"Corky Devlin", 77, 6-5, 195
"Walter Dukes", 84, 7-0, 220
"Ray Felix", 83, 6-11, 220
"Ed Fleming", 75, 6-3, 189
"Larry Foust", 81, 6-9, 215
"Harry Gallatin", 78, 6-6, 210
"Dick Garmaker", 75, 6-3, 200
"Jack George", 74, 6-2, 190
"Joe Graboski", 79, 6-7, 195
"Si Green", 74, 6-2, 185
"Richie Guerin", 76, 6-4, 195
"Cliff Hagan", 76, 6-4, 210
"Alex Hannum", 79, 6-7, 210
"Bob Harrison", 73, 6-1, 190
"Tom Heinsohn", 79, 6-7, 218
"Dick Hemric", 78, 6-6, 220
"Larry Hennessy", 75, 6-3, 185
"Lew Hitch", 80, 6-8, 200
"Joe Holup", 78, 6-6, 215
"Bob Hopkins", 80, 6-8, 205
"Bob Houbregs", 79, 6-7, 210
"Mel Hutchins", 78, 6-6, 200
"Neil Johnston", 80, 6-8, 210
"Phil Jordon", 82, 6-10, 205
"Ed Kalafat", 78, 6-6, 245
"Billy Kenville", 74, 6-2, 187
"Red Kerr", 81, 6-9, 230
"Hal Lear", 72, 6-0, 163
"Slick Leonard", 75, 6-3, 185
"Earl Lloyd", 77, 6-5, 200
"Jim Loscutoff", 77, 6-5, 220
"Clyde Lovellette", 81, 6-9, 234
"Ed Macauley", 80, 6-8, 185
"Tom Marshall", 76, 6-4, 215
"Slater Martin", 70, 5-10, 170
"Johnny McCarthy", 73, 6-1, 185
"Dick McGuire", 72, 6-0, 180
"Jack McMahon", 73, 6-1, 185
"Chuck Mencel", 72, 6-0, 168
"Vern Mikkelsen", 79, 6-7, 230
"Jackie Moore", 77, 6-5, 180
"Willie Naulls", 78, 6-6, 225
"Jack Nichols", 79, 6-7, 222
"Chuck Noble", 76, 6-4, 190
"Togo Palazzi", 76, 6-4, 205
"Med Park", 74, 6-2, 205
"Jim Paxson", 78, 6-6, 200
"Bob Pettit", 81, 6-9, 205
"Andy Phillip", 74, 6-2, 195
"Dave Piontek", 78, 6-6, 230
"Frank Ramsey", 75, 6-3, 190
"Jim Ray", 73, 6-1, 180
"Richie Regan", 74, 6-2, 180
"Dick Ricketts", 79, 6-7, 215
"Arnie Risen", 81, 6-9, 200
"Red Rocha", 81, 6-9, 185
"Dick Rosenthal", 77, 6-5, 205
"Bill Russell", 82, 6-10, 215
"Don Savage", 75, 6-3, 205
"Bob Schafer", 75, 6-3, 195
"Dolph Schayes", 79, 6-7, 195
"Dick Schnittker", 77, 6-5, 200
"Kenny Sears", 81, 6-9, 198
"Paul Seymour", 73, 6-1, 180
"Chuck Share", 83, 6-11, 235
"Bill Sharman", 73, 6-1, 175
"Ron Shavlik", 80, 6-8, 200
"Gene Shue", 74, 6-2, 170
"Whitey Skoog", 71, 5-11, 180
"Ron Sobie", 75, 6-3, 185
"Odie Spears", 77, 6-5, 205
"Art Spoelstra", 81, 6-9, 220
"Norm Stewart", 77, 6-5, 205
"Maurice Stokes", 79, 6-7, 232
"Bill Thieben", 79, 6-7, 215
"Lou Tsioropoulos", 77, 6-5, 190
"Jim Tucker", 79, 6-7, 185
"Jack Twyman", 78, 6-6, 210
"Bobby Wanzer", 72, 6-0, 170
"Bob Williams", 78, 6-6, 230
"George Yardley", 77, 6-5, 190
