"Name", Height (Inches), Height(Feet-Inches), Weight
"Gary Alcorn", 81, 6-9, 225
"Bob Anderegg", 75, 6-3, 200
"Paul Arizin", 76, 6-4, 190
"Dick Barnett", 76, 6-4, 190
"Elgin Baylor", 77, 6-5, 225
"Ernie Beck", 76, 6-4, 190
"Whitey Bell", 72, 6-0, 180
"Al Bianchi", 75, 6-3, 185
"Bucky Bockhorn", 76, 6-4, 200
"Carl Braun", 77, 6-5, 180
"Barney Cable", 79, 6-7, 175
"Wilt Chamberlain", 85, 7-1, 275
"Gene Conley", 80, 6-8, 225
"Ed Conlin", 77, 6-5, 200
"Larry Costello", 73, 6-1, 186
"Bob Cousy", 73, 6-1, 175
"Archie Dees", 80, 6-8, 205
"Connie Dierking", 81, 6-9, 222
"Walter Dukes", 84, 7-0, 220
"Boo Ellis", 77, 6-5, 185
"Wayne Embry", 80, 6-8, 240
"Mike Farmer", 79, 6-7, 210
"Ray Felix", 83, 6-11, 220
"Al Ferrari", 76, 6-4, 190
"Bob Ferry", 80, 6-8, 230
"Ed Fleming", 75, 6-3, 189
"Larry Foust", 81, 6-9, 215
"Dave Gambee", 78, 6-6, 215
"Dick Garmaker", 75, 6-3, 200
"Jack George", 74, 6-2, 190
"Tom Gola", 78, 6-6, 205
"Joe Graboski", 79, 6-7, 195
"Johnny Green", 77, 6-5, 200
"Si Green", 74, 6-2, 185
"Hal Greer", 74, 6-2, 175
"Gene Guarilia", 77, 6-5, 220
"Richie Guerin", 76, 6-4, 195
"Cliff Hagan", 76, 6-4, 210
"Steve Hamilton", 78, 6-6, 190
"Vern Hatton", 75, 6-3, 195
"Tom Hawkins", 77, 6-5, 210
"Tom Heinsohn", 79, 6-7, 218
"Bob Hopkins", 80, 6-8, 205
"Bailey Howell", 79, 6-7, 210
"Hot Rod Hundley", 76, 6-4, 185
"Andy Johnson", 77, 6-5, 215
"K.C. Jones", 73, 6-1, 200
"Sam Jones", 76, 6-4, 198
"Phil Jordon", 82, 6-10, 205
"Billy Kenville", 74, 6-2, 187
"Red Kerr", 81, 6-9, 230
"Maury King", 74, 6-2, 195
"Jim Krebs", 80, 6-8, 230
"Rudy LaRusso", 79, 6-7, 220
"Slick Leonard", 75, 6-3, 185
"Earl Lloyd", 77, 6-5, 200
"Jim Loscutoff", 77, 6-5, 220
"Clyde Lovellette", 81, 6-9, 234
"Nick Mantis", 75, 6-3, 190
"Slater Martin", 70, 5-10, 170
"Brendan McCann", 74, 6-2, 178
"Johnny McCarthy", 73, 6-1, 185
"Dick McGuire", 72, 6-0, 180
"Jack McMahon", 73, 6-1, 185
"Shellie McMillon", 77, 6-5, 205
"Willie Naulls", 78, 6-6, 225
"Chuck Noble", 76, 6-4, 190
"Togo Palazzi", 76, 6-4, 205
"Jim Palmer", 80, 6-8, 224
"Med Park", 74, 6-2, 205
"Bob Pettit", 81, 6-9, 205
"Dave Piontek", 78, 6-6, 230
"Cal Ramsey", 76, 6-4, 200
"Frank Ramsey", 75, 6-3, 190
"Jim Ray", 73, 6-1, 180
"Hub Reed", 81, 6-9, 215
"John Richter", 81, 6-9, 225
"Guy Rodgers", 72, 6-0, 185
"Phil Rollins", 74, 6-2, 185
"Joe Ruklick", 81, 6-9, 220
"Bill Russell", 82, 6-10, 215
"Woody Sauldsberry", 79, 6-7, 220
"Dolph Schayes", 79, 6-7, 195
"Kenny Sears", 81, 6-9, 198
"Frank Selvy", 75, 6-3, 180
"Paul Seymour", 73, 6-1, 180
"Chuck Share", 83, 6-11, 235
"Bill Sharman", 73, 6-1, 175
"Gene Shue", 74, 6-2, 170
"Bobby Smith", 76, 6-4, 190
"Ron Sobie", 75, 6-3, 185
"Guy Sparrow", 78, 6-6, 218
"Larry Staverman", 79, 6-7, 205
"Wayne Stevens", 75, 6-3, 185
"Jack Twyman", 78, 6-6, 210
"Charlie Tyra", 80, 6-8, 230
"Win Wilfong", 74, 6-2, 185
"Tony Windis", 73, 6-1, 160
"George Yardley", 77, 6-5, 190
