"Name", Height (Inches), Height(Feet-Inches), Weight
"Tariq Abdul-Wahad", 78, 6-6, 223
"Shareef Abdur-Rahim", 81, 6-9, 225
"Courtney Alexander", 77, 6-5, 205
"Victor Alexander", 81, 6-9, 265
"Malik Allen", 82, 6-10, 255
"Ray Allen", 77, 6-5, 205
"Rafer Alston", 74, 6-2, 171
"John Amaechi", 82, 6-10, 270
"Chris Andersen", 82, 6-10, 230
"Derek Anderson", 77, 6-5, 194
"Kenny Anderson", 72, 6-0, 168
"Nick Anderson", 78, 6-6, 205
"Shandon Anderson", 78, 6-6, 208
"Greg Anthony", 72, 6-0, 176
"Gilbert Arenas", 75, 6-3, 191
"Brandon Armstrong", 77, 6-5, 188
"Darrell Armstrong", 72, 6-0, 170
"Carlos Arroyo", 74, 6-2, 202
"Chucky Atkins", 71, 5-11, 160
"Stacey Augmon", 78, 6-6, 205
"Isaac Austin", 82, 6-10, 255
"William Avery", 74, 6-2, 197
"Dalibor Bagaric", 85, 7-1, 255
"Vin Baker", 83, 6-11, 232
"Erick Barkley", 73, 6-1, 177
"Dana Barros", 71, 5-11, 163
"Brent Barry", 78, 6-6, 185
"Jon Barry", 76, 6-4, 195
"Mengke Bateer", 83, 6-11, 290
"Tony Battie", 83, 6-11, 230
"Shane Battier", 80, 6-8, 220
"Charlie Bell", 75, 6-3, 200
"Raja Bell", 77, 6-5, 204
"Jonathan Bender", 83, 6-11, 202
"Travis Best", 71, 5-11, 182
"Mike Bibby", 73, 6-1, 190
"Chauncey Billups", 75, 6-3, 202
"Mookie Blaylock", 72, 6-0, 180
"Corie Blount", 81, 6-9, 240
"Mark Blount", 84, 7-0, 230
"Calvin Booth", 83, 6-11, 230
"Ruben Boumtje-Boumtje", 84, 7-0, 257
"Cal Bowdler", 82, 6-10, 245
"Bruce Bowen", 79, 6-7, 185
"Ryan Bowen", 79, 6-7, 215
"Ira Bowman", 77, 6-5, 195
"Earl Boykins", 65, 5-5, 135
"Michael Bradley", 82, 6-10, 245
"Shawn Bradley", 90, 7-6, 235
"Elton Brand", 80, 6-8, 275
"Terrell Brandon", 71, 5-11, 180
"Jamison Brewer", 76, 6-4, 184
"Primoz Brezec", 86, 7-2, 252
"Chucky Brown", 79, 6-7, 214
"Damone Brown", 81, 6-9, 200
"Dee Brown", 73, 6-1, 160
"Ernest Brown", 84, 7-0, 244
"Kedrick Brown", 79, 6-7, 222
"Kwame Brown", 83, 6-11, 270
"P.J. Brown", 83, 6-11, 225
"Randy Brown", 74, 6-2, 190
"Tierre Brown", 74, 6-2, 189
"Rick Brunson", 76, 6-4, 190
"Kobe Bryant", 78, 6-6, 200
"Mark Bryant", 81, 6-9, 245
"Greg Buckner", 76, 6-4, 210
"Jud Buechler", 78, 6-6, 220
"Rodney Buford", 77, 6-5, 189
"Matt Bullard", 82, 6-10, 215
"Mitchell Butler", 77, 6-5, 210
"Jason Caffey", 80, 6-8, 255
"Marcus Camby", 83, 6-11, 220
"Elden Campbell", 83, 6-11, 215
"Brian Cardinal", 80, 6-8, 245
"Anthony Carter", 73, 6-1, 190
"Vince Carter", 78, 6-6, 215
"Sam Cassell", 75, 6-3, 185
"Kelvin Cato", 83, 6-11, 255
"Tyson Chandler", 85, 7-1, 235
"Calbert Cheaney", 79, 6-7, 209
"Chris Childs", 75, 6-3, 195
"Doug Christie", 78, 6-6, 200
"Keon Clark", 83, 6-11, 220
"Speedy Claxton", 71, 5-11, 166
"Mateen Cleaves", 74, 6-2, 205
"Derrick Coleman", 82, 6-10, 230
"Bimbo Coles", 73, 6-1, 180
"Jason Collier", 84, 7-0, 260
"Jarron Collins", 83, 6-11, 255
"Jason Collins", 84, 7-0, 255
"Chris Crawford", 81, 6-9, 235
"Jamal Crawford", 78, 6-6, 185
"Joe Crispin", 72, 6-0, 185
"Austin Croshere", 81, 6-9, 235
"John Crotty", 73, 6-1, 185
"Vonteego Cummings", 75, 6-3, 185
"Dell Curry", 76, 6-4, 190
"Eddy Curry", 84, 7-0, 295
"Michael Curry", 77, 6-5, 210
"Samuel Dalembert", 83, 6-11, 250
"Erick Dampier", 83, 6-11, 265
"Antonio Daniels", 76, 6-4, 195
"Antonio Davis", 81, 6-9, 215
"Baron Davis", 75, 6-3, 209
"Dale Davis", 83, 6-11, 230
"Emanual Davis", 76, 6-4, 195
"Hubert Davis", 77, 6-5, 183
"Ricky Davis", 78, 6-6, 195
"Andrew DeClercq", 82, 6-10, 230
"Vinny Del Negro", 76, 6-4, 185
"Tony Delk", 73, 6-1, 189
"Derrick Dial", 76, 6-4, 184
"Michael Dickerson", 77, 6-5, 190
"DeSagana Diop", 84, 7-0, 300
"Vlade Divac", 85, 7-1, 243
"Michael Doleac", 83, 6-11, 262
"Keyon Dooling", 75, 6-3, 196
"Bryce Drew", 74, 6-2, 185
"Predrag Drobnjak", 83, 6-11, 270
"Chris Dudley", 83, 6-11, 235
"Tim Duncan", 83, 6-11, 248
"Howard Eisley", 74, 6-2, 177
"Obinna Ekezie", 81, 6-9, 270
"LaPhonso Ellis", 80, 6-8, 240
"Evan Eschmeyer", 83, 6-11, 255
"Maurice Evans", 77, 6-5, 220
"Patrick Ewing", 84, 7-0, 240
"Danny Ferry", 82, 6-10, 230
"Michael Finley", 79, 6-7, 215
"Derek Fisher", 73, 6-1, 200
"Marcus Fizer", 81, 6-9, 262
"Isaac Fontaine", 76, 6-4, 210
"Alton Ford", 81, 6-9, 275
"Joseph Forte", 76, 6-4, 194
"Danny Fortson", 79, 6-7, 260
"Greg Foster", 83, 6-11, 240
"Jeff Foster", 83, 6-11, 236
"Antonis Fotsis", 82, 6-10, 219
"Tremaine Fowlkes", 80, 6-8, 220
"Rick Fox", 79, 6-7, 230
"Adonal Foyle", 82, 6-10, 250
"Steve Francis", 75, 6-3, 195
"Lawrence Funderburke", 81, 6-9, 230
"Kevin Garnett", 83, 6-11, 220
"Dean Garrett", 82, 6-10, 225
"Pat Garrity", 81, 6-9, 238
"Pau Gasol", 84, 7-0, 227
"Chris Gatling", 82, 6-10, 220
"Matt Geiger", 84, 7-0, 243
"Devean George", 80, 6-8, 220
"Eddie Gill", 72, 6-0, 190
"Kendall Gill", 77, 6-5, 195
"Dion Glover", 77, 6-5, 228
"Steve Goodrich", 82, 6-10, 220
"Brian Grant", 81, 6-9, 254
"Horace Grant", 82, 6-10, 215
"Adrian Griffin", 77, 6-5, 217
"Eddie Griffin", 82, 6-10, 220
"Tom Gugliotta", 82, 6-10, 240
"A.J. Guyton", 73, 6-1, 180
"Darvin Ham", 79, 6-7, 220
"Richard Hamilton", 78, 6-6, 185
"Tang Hamilton", 80, 6-8, 220
"Zendon Hamilton", 83, 6-11, 250
"Anfernee Hardaway", 79, 6-7, 195
"Tim Hardaway", 72, 6-0, 175
"Matt Harpring", 79, 6-7, 231
"Al Harrington", 81, 6-9, 230
"Othella Harrington", 81, 6-9, 235
"Lucious Harris", 77, 6-5, 190
"Jason Hart", 75, 6-3, 185
"Antonio Harvey", 83, 6-11, 225
"Donnell Harvey", 80, 6-8, 220
"Trenton Hassell", 77, 6-5, 200
"Kirk Haston", 81, 6-9, 242
"Brendan Haywood", 84, 7-0, 268
"Alan Henderson", 81, 6-9, 235
"Cedric Henderson", 79, 6-7, 215
"Grant Hill", 80, 6-8, 225
"Tyrone Hill", 81, 6-9, 240
"Fred Hoiberg", 76, 6-4, 203
"Robert Horry", 81, 6-9, 220
"Eddie House", 73, 6-1, 180
"Allan Houston", 78, 6-6, 200
"Juwan Howard", 81, 6-9, 240
"Troy Hudson", 73, 6-1, 170
