"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Mahdi Abdul-Rahman", 74, 6-2, 185
"Rick Adelman", 73, 6-1, 175
"Lucius Allen", 74, 6-2, 175
"Wally Anderzunas", 79, 6-7, 220
"John Arthurs", 76, 6-4, 185
"Al Attles", 72, 6-0, 175
"Jim Barnes", 80, 6-8, 210
"Dick Barnett", 76, 6-4, 190
"Jim Barnett", 76, 6-4, 170
"Johnny Baum", 77, 6-5, 200
"Elgin Baylor", 77, 6-5, 225
"Butch Beard", 75, 6-3, 185
"Walt Bellamy", 83, 6-11, 225
"Dave Bing", 75, 6-3, 180
"John Block", 81, 6-9, 207
"Tom Boerwinkle", 84, 7-0, 265
"Bob Boozer", 80, 6-8, 215
"Nate Bowman", 82, 6-10, 230
"Bill Bradley", 77, 6-5, 205
"Bill Bridges", 78, 6-6, 228
"Em Bryant", 73, 6-1, 175
"Joe Caldwell", 77, 6-5, 195
"Fred Carter", 75, 6-3, 185
"Wilt Chamberlain", 85, 7-1, 275
"Jerry Chambers", 77, 6-5, 185
"Don Chaney", 77, 6-5, 210
"Len Chappell", 80, 6-8, 240
"Archie Clark", 74, 6-2, 175
"Barry Clemens", 78, 6-6, 210
"Mel Counts", 84, 7-0, 230
"Bob Cousy", 73, 6-1, 175
"Freddie Crawford", 76, 6-4, 189
"Billy Cunningham", 78, 6-6, 210
"Dick Cunningham", 82, 6-10, 245
"Bob Dandridge", 78, 6-6, 195
"Jim Davis", 81, 6-9, 225
"Mike Davis", 75, 6-3, 185
"Dave DeBusschere", 78, 6-6, 220
"Connie Dierking", 81, 6-9, 222
"Terry Dischinger", 79, 6-7, 189
"Johnny Egan", 71, 5-11, 180
"Joe Ellis", 78, 6-6, 175
"Leroy Ellis", 82, 6-10, 210
"Keith Erickson", 77, 6-5, 195
"Hank Finkel", 84, 7-0, 240
"Fred Foster", 77, 6-5, 210
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"Dave Gambee", 78, 6-6, 215
"Dick Garrett", 75, 6-3, 185
"Herm Gilliam", 75, 6-3, 190
"Gail Goodrich", 73, 6-1, 170
"Bob Greacen", 79, 6-7, 206
"Johnny Green", 77, 6-5, 200
"Lamar Green", 79, 6-7, 210
"Hal Greer", 74, 6-2, 175
"Gary Gregor", 79, 6-7, 225
"Richie Guerin", 76, 6-4, 195
"Matt Guokas", 77, 6-5, 175
"Al Hairston", 73, 6-1, 170
"Happy Hairston", 79, 6-7, 225
"Shaler Halimon", 77, 6-5, 199
"Art Harris", 76, 6-4, 185
"Clem Haskins", 75, 6-3, 195
"John Havlicek", 77, 6-5, 203
"Connie Hawkins", 80, 6-8, 210
"Elvin Hayes", 81, 6-9, 235
"Brian Heaney", 74, 6-2, 180
"Fred Hetzel", 80, 6-8, 220
"Bill Hewitt", 79, 6-7, 210
"Bill Hosket", 80, 6-8, 225
"Bailey Howell", 79, 6-7, 210
"Lou Hudson", 77, 6-5, 210
"Darrall Imhoff", 82, 6-10, 220
"Luke Jackson", 81, 6-9, 240
"Gus Johnson", 78, 6-6, 230
"Neil Johnson", 79, 6-7, 220
"Rich Johnson", 79, 6-7, 210
"Wali Jones", 74, 6-2, 180
"Bob Kauffman", 80, 6-8, 240
"Joe Kennedy", 78, 6-6, 210
"Toby Kimball", 78, 6-6, 220
"Jim King", 74, 6-2, 175
"Don Kojis", 77, 6-5, 215
"Howard Komives", 73, 6-1, 185
"Steve Kuberski", 80, 6-8, 215
"Stu Lantz", 75, 6-3, 175
"Clyde Lee", 82, 6-10, 205
"Bobby Lewis", 75, 6-3, 175
"Paul Long", 74, 6-2, 180
"Kevin Loughery", 75, 6-3, 190
"Bob Love", 80, 6-8, 215
"Jerry Lucas", 80, 6-8, 230
"Mike Lynn", 79, 6-7, 215
"Ed Manning", 79, 6-7, 210
"Jack Marin", 79, 6-7, 200
"Don May", 76, 6-4, 200
"Willie McCarter", 75, 6-3, 175
"Jon McGlocklin", 77, 6-5, 205
"Stan McKenzie", 77, 6-5, 195
"McCoy McLemore", 79, 6-7, 230
"Tom Meschery", 78, 6-6, 215
"Eddie Miles", 76, 6-4, 195
"Steve Mix", 79, 6-7, 215
"Earl Monroe", 75, 6-3, 185
"Otto Moore", 83, 6-11, 205
"Erwin Mueller", 80, 6-8, 230
"Jeff Mullins", 76, 6-4, 190
"Dorie Murrey", 80, 6-8, 215
"Don Nelson", 78, 6-6, 210
"Dave Newmark", 84, 7-0, 240
"Rich Niemann", 84, 7-0, 245
"Grady O'Malley", 77, 6-5, 205
"Bud Ogden", 78, 6-6, 215
"Don Ohl", 75, 6-3, 190
"Loy Petersen", 77, 6-5, 205
"Bob Portman", 77, 6-5, 200
"Bob Quick", 77, 6-5, 215
"Luther Rackley", 82, 6-10, 220
"Willis Reed", 81, 6-9, 235
"George Reynolds", 76, 6-4, 195
"Pat Riley", 76, 6-4, 205
"Mike Riordan", 76, 6-4, 200
"Rick Roberson", 81, 6-9, 231
"Oscar Robertson", 77, 6-5, 205
"Flynn Robinson", 73, 6-1, 185
"Guy Rodgers", 72, 6-0, 185
"Bob Rule", 81, 6-9, 220
"Cazzie Russell", 77, 6-5, 218
"Tom Sanders", 78, 6-6, 210
"Dale Schlueter", 82, 6-10, 225
"Dave Scholz", 80, 6-8, 220
"Ray Scott", 81, 6-9, 215
"Larry Siegfried", 75, 6-3, 190
"Paul Silas", 79, 6-7, 220
"Jerry Sloan", 77, 6-5, 195
"Adrian Smith", 73, 6-1, 180
"Bingo Smith", 77, 6-5, 195
"Greg Smith", 77, 6-5, 195
"Dick Snyder", 77, 6-5, 207
"Dave Stallworth", 79, 6-7, 200
"Rod Thorn", 76, 6-4, 195
"Nate Thurmond", 83, 6-11, 225
"Gene Tormohlen", 80, 6-8, 230
"John Trapp", 79, 6-7, 210
"John Tresvant", 79, 6-7, 215
"Al Tucker", 80, 6-8, 190
"Bill Turner", 79, 6-7, 220
"Wes Unseld", 79, 6-7, 245
"Dick Van Arsdale", 77, 6-5, 210
