"Name", Height (Inches), Height(Feet-Inches), Weight
"Alaa Abdelnaby", 82, 6-10, 240
"Mahmoud Abdul-Rauf", 73, 6-1, 162
"Mark Acres", 83, 6-11, 220
"Michael Adams", 70, 5-10, 162
"Mark Aguirre", 78, 6-6, 232
"Danny Ainge", 76, 6-4, 175
"Mark Alarie", 80, 6-8, 217
"Steve Alford", 74, 6-2, 183
"Greg Anderson", 82, 6-10, 230
"Nick Anderson", 78, 6-6, 205
"Ron Anderson", 79, 6-7, 215
"Willie Anderson", 79, 6-7, 190
"Michael Ansley", 79, 6-7, 225
"B.J. Armstrong", 74, 6-2, 175
"Vincent Askew", 78, 6-6, 210
"Keith Askins", 79, 6-7, 197
"Milos Babic", 84, 7-0, 240
"Thurl Bailey", 83, 6-11, 215
"Cedric Ball", 80, 6-8, 210
"Ken Bannister", 81, 6-9, 235
"Charles Barkley", 78, 6-6, 252
"Dana Barros", 71, 5-11, 163
"John Battle", 74, 6-2, 175
"Kenny Battle", 78, 6-6, 210
"William Bedford", 84, 7-0, 225
"Benoit Benjamin", 84, 7-0, 250
"Winston Bennett", 79, 6-7, 210
"Larry Bird", 81, 6-9, 220
"Rolando Blackman", 78, 6-6, 190
"Lance Blanks", 76, 6-4, 190
"Mookie Blaylock", 72, 6-0, 180
"Muggsy Bogues", 63, 5-3, 136
"Manute Bol", 91, 7-7, 200
"Anthony Bonner", 80, 6-8, 215
"Sam Bowie", 85, 7-1, 235
"Randy Breuer", 87, 7-3, 230
"Frank Brickowski", 81, 6-9, 240
"Scott Brooks", 71, 5-11, 165
"Chucky Brown", 79, 6-7, 214
"Dee Brown", 73, 6-1, 160
"Mike Brown", 81, 6-9, 257
"Tony Brown", 78, 6-6, 185
"Mark Bryant", 81, 6-9, 245
"Jud Buechler", 78, 6-6, 220
"Matt Bullard", 82, 6-10, 215
"Willie Burton", 80, 6-8, 210
"Greg Butler", 83, 6-11, 240
"Michael Cage", 81, 6-9, 224
"Adrian Caldwell", 80, 6-8, 265
"Rick Calloway", 78, 6-6, 180
"Elden Campbell", 83, 6-11, 215
"Tony Campbell", 79, 6-7, 215
"Antoine Carr", 81, 6-9, 225
"Joe Barry Carroll", 84, 7-0, 225
"Bill Cartwright", 85, 7-1, 245
"Terry Catledge", 80, 6-8, 220
"Duane Causwell", 84, 7-0, 240
"Cedric Ceballos", 78, 6-6, 190
"Tom Chambers", 82, 6-10, 220
"Rex Chapman", 76, 6-4, 185
"Maurice Cheeks", 73, 6-1, 180
"Derrick Chievous", 79, 6-7, 195
"Richard Coffey", 78, 6-6, 212
"Derrick Coleman", 82, 6-10, 230
"Bimbo Coles", 73, 6-1, 180
"Steve Colter", 75, 6-3, 165
"Lester Conner", 76, 6-4, 180
"Anthony Cook", 81, 6-9, 205
"Wayne Cooper", 82, 6-10, 220
"Tyrone Corbin", 78, 6-6, 210
"Dave Corzine", 83, 6-11, 250
"Pat Cummings", 81, 6-9, 230
"Terry Cummings", 81, 6-9, 220
"Earl Cureton", 81, 6-9, 210
"Dell Curry", 76, 6-4, 190
"Quintin Dailey", 75, 6-3, 180
"Adrian Dantley", 77, 6-5, 208
"Brad Daugherty", 84, 7-0, 245
"Brad Davis", 75, 6-3, 180
"Terry Davis", 81, 6-9, 225
"Walter Davis", 78, 6-6, 193
"Johnny Dawkins", 74, 6-2, 165
"Tony Dawson", 79, 6-7, 215
"Byron Dinkins", 73, 6-1, 170
"Vlade Divac", 85, 7-1, 243
"James Donaldson", 86, 7-2, 275
"Sherman Douglas", 72, 6-0, 180
"Greg Dreiling", 85, 7-1, 250
"Larry Drew", 73, 6-1, 170
"Clyde Drexler", 79, 6-7, 210
"Kevin Duckworth", 84, 7-0, 275
"Chris Dudley", 83, 6-11, 235
"Joe Dumars", 75, 6-3, 190
"T.R. Dunn", 76, 6-4, 192
"Ledell Eackles", 77, 6-5, 220
"Mark Eaton", 88, 7-4, 275
"Blue Edwards", 76, 6-4, 200
"James Edwards", 84, 7-0, 225
"Kevin Edwards", 75, 6-3, 190
"Craig Ehlo", 78, 6-6, 180
"Mario Elie", 77, 6-5, 210
"Sean Elliott", 80, 6-8, 205
"Dale Ellis", 79, 6-7, 205
"Pervis Ellison", 81, 6-9, 210
"A.J. English", 75, 6-3, 175
"Alex English", 79, 6-7, 190
"Patrick Ewing", 84, 7-0, 240
"Jim Farmer", 76, 6-4, 190
"Dave Feitl", 83, 6-11, 235
"Duane Ferrell", 79, 6-7, 209
"Danny Ferry", 82, 6-10, 230
"Vern Fleming", 77, 6-5, 185
"Sleepy Floyd", 75, 6-3, 170
"Greg Foster", 83, 6-11, 240
"Anthony Frederick", 79, 6-7, 205
"Corey Gaines", 75, 6-3, 195
"Kevin Gamble", 77, 6-5, 210
"Winston Garland", 74, 6-2, 170
"Tom Garrick", 74, 6-2, 185
"Kenny Gattison", 80, 6-8, 225
"Tate George", 77, 6-5, 190
"Derrick Gervin", 80, 6-8, 200
"Kendall Gill", 77, 6-5, 195
"Armen Gilliam", 81, 6-9, 230
"Gerald Glass", 77, 6-5, 221
"Mike Gminski", 83, 6-11, 250
"Dan Godfread", 82, 6-10, 250
"Jim Grandholm", 84, 7-0, 235
"Gary Grant", 75, 6-3, 185
"Greg Grant", 67, 5-7, 140
"Harvey Grant", 80, 6-8, 195
"Horace Grant", 82, 6-10, 215
"Stuart Gray", 84, 7-0, 235
"Jeff Grayer", 77, 6-5, 200
"A.C. Green", 81, 6-9, 220
"Rickey Green", 72, 6-0, 170
"Sidney Green", 81, 6-9, 220
"Dave Greenwood", 81, 6-9, 222
"Darrell Griffith", 76, 6-4, 190
"Scott Haffner", 75, 6-3, 180
"Jack Haley", 82, 6-10, 240
"Tom Hammonds", 81, 6-9, 215
"Bob Hansen", 78, 6-6, 190
"Tim Hardaway", 72, 6-0, 175
"Derek Harper", 76, 6-4, 185
