"Name", Height (Inches), Height(Feet-Inches), Weight
"Mark Acres", 83, 6-11, 220
"Michael Adams", 70, 5-10, 162
"Mark Aguirre", 78, 6-6, 232
"Danny Ainge", 76, 6-4, 175
"Mark Alarie", 80, 6-8, 217
"Steve Alford", 74, 6-2, 183
"Randy Allen", 80, 6-8, 220
"Greg Anderson", 82, 6-10, 230
"Nick Anderson", 78, 6-6, 205
"Richard Anderson", 82, 6-10, 240
"Ron Anderson", 79, 6-7, 215
"Willie Anderson", 79, 6-7, 190
"Michael Ansley", 79, 6-7, 225
"B.J. Armstrong", 74, 6-2, 175
"John Bagley", 72, 6-0, 185
"Thurl Bailey", 83, 6-11, 215
"Ken Bannister", 81, 6-9, 235
"Charles Barkley", 78, 6-6, 252
"Dana Barros", 71, 5-11, 163
"John Battle", 74, 6-2, 175
"Kenny Battle", 78, 6-6, 210
"William Bedford", 84, 7-0, 225
"Benoit Benjamin", 84, 7-0, 250
"Winston Bennett", 79, 6-7, 210
"Larry Bird", 81, 6-9, 220
"Uwe Blab", 85, 7-1, 252
"Rolando Blackman", 78, 6-6, 190
"Mookie Blaylock", 72, 6-0, 180
"Muggsy Bogues", 63, 5-3, 136
"Manute Bol", 91, 7-7, 200
"Anthony Bowie", 78, 6-6, 190
"Sam Bowie", 85, 7-1, 235
"Adrian Branch", 79, 6-7, 185
"Randy Breuer", 87, 7-3, 230
"Frank Brickowski", 81, 6-9, 240
"Scott Brooks", 71, 5-11, 165
"Chucky Brown", 79, 6-7, 214
"Mike Brown", 81, 6-9, 257
"Raymond Brown", 80, 6-8, 220
"Tony Brown", 78, 6-6, 185
"Stanley Brundy", 78, 6-6, 210
"Mark Bryant", 81, 6-9, 245
"Torgeir Bryn", 81, 6-9, 250
"Steve Bucknall", 78, 6-6, 215
"Greg Butler", 83, 6-11, 240
"Michael Cage", 81, 6-9, 224
"Adrian Caldwell", 80, 6-8, 265
"Tony Campbell", 79, 6-7, 215
"Rick Carlisle", 77, 6-5, 210
"Antoine Carr", 81, 6-9, 225
"Joe Barry Carroll", 84, 7-0, 225
"Bill Cartwright", 85, 7-1, 245
"Terry Catledge", 80, 6-8, 220
"Tom Chambers", 82, 6-10, 220
"Rex Chapman", 76, 6-4, 185
"Maurice Cheeks", 73, 6-1, 180
"Derrick Chievous", 79, 6-7, 195
"Ben Coleman", 81, 6-9, 235
"Steve Colter", 75, 6-3, 165
