"Name", Height (Inches), Height(Feet-Inches), Weight
"Stacey Arceneaux", 76, 6-4, 210
"Paul Arizin", 76, 6-4, 190
"Al Attles", 72, 6-0, 175
"Elgin Baylor", 77, 6-5, 225
"Walt Bellamy", 83, 6-11, 225
"Al Bianchi", 75, 6-3, 185
"George Blaney", 73, 6-1, 175
"Bucky Bockhorn", 76, 6-4, 200
"George Bon Salle", 80, 6-8, 220
"Bob Boozer", 80, 6-8, 215
"Carl Braun", 77, 6-5, 180
"Joe Buckhalter", 79, 6-7, 210
"Cleveland Buckner", 81, 6-9, 210
"Dave Budd", 78, 6-6, 205
"Ed Burton", 78, 6-6, 225
"Donnie Butcher", 74, 6-2, 200
"Al Butler", 74, 6-2, 175
"Barney Cable", 79, 6-7, 175
"Howie Carl", 69, 5-9, 160
"Wilt Chamberlain", 85, 7-1, 275
"Ed Conlin", 77, 6-5, 200
"Larry Costello", 73, 6-1, 186
"Bob Cousy", 73, 6-1, 175
"Jimmy Darrow", 70, 5-10, 170
"Ralph Davis", 76, 6-4, 180
"Archie Dees", 80, 6-8, 205
"Walter Dukes", 84, 7-0, 220
"Johnny Egan", 71, 5-11, 180
"Rich Eichhorst", 75, 6-3, 200
"Wayne Embry", 80, 6-8, 240
"Ray Felix", 83, 6-11, 220
"Al Ferrari", 76, 6-4, 190
"Bob Ferry", 80, 6-8, 230
"Larry Foust", 81, 6-9, 215
"Dave Gambee", 78, 6-6, 215
"Tom Gola", 78, 6-6, 205
"Joe Graboski", 79, 6-7, 195
"Johnny Green", 77, 6-5, 200
"Si Green", 74, 6-2, 185
"Hal Greer", 74, 6-2, 175
"Gene Guarilia", 77, 6-5, 220
"Richie Guerin", 76, 6-4, 195
"Cliff Hagan", 76, 6-4, 210
"Swede Halbrook", 87, 7-3, 235
"Vern Hatton", 75, 6-3, 195
"Tom Hawkins", 77, 6-5, 210
"Tom Heinsohn", 79, 6-7, 218
"Cleo Hill", 73, 6-1, 185
"Ron Horn", 79, 6-7, 220
"Bailey Howell", 79, 6-7, 210
"Hot Rod Hundley", 76, 6-4, 185
"Darrall Imhoff", 82, 6-10, 220
"Andy Johnson", 77, 6-5, 215
"Howie Jolliff", 79, 6-7, 218
"K.C. Jones", 73, 6-1, 200
"Sam Jones", 76, 6-4, 198
"Willie Jones", 75, 6-3, 185
"Phil Jordon", 82, 6-10, 205
"Red Kerr", 81, 6-9, 230
"Doug Kistler", 81, 6-9, 210
"Jim Krebs", 80, 6-8, 230
"Fred LaCour", 77, 6-5, 210
"York Larese", 76, 6-4, 183
"Rudy LaRusso", 79, 6-7, 220
"George Lee", 76, 6-4, 200
"Slick Leonard", 75, 6-3, 185
"Jim Loscutoff", 77, 6-5, 220
"Clyde Lovellette", 81, 6-9, 234
"Ted Luckenbill", 78, 6-6, 205
"Whitey Martin", 74, 6-2, 185
"Johnny McCarthy", 73, 6-1, 185
"Shellie McMillon", 77, 6-5, 205
"Bob McNeill", 73, 6-1, 170
"Tom Meschery", 78, 6-6, 215
"Jackie Moreland", 79, 6-7, 215
"Willie Naulls", 78, 6-6, 225
"Paul Neumann", 73, 6-1, 175
"Chuck Noble", 76, 6-4, 190
"Bevo Nordmann", 82, 6-10, 225
"Don Ohl", 75, 6-3, 190
"Chuck Osborne", 78, 6-6, 210
"Bob Pettit", 81, 6-9, 205
"Gary Phillips", 75, 6-3, 189
"Dave Piontek", 78, 6-6, 230
"Frank Radovich", 80, 6-8, 235
"Frank Ramsey", 75, 6-3, 190
"Hub Reed", 81, 6-9, 215
"Joe Roberts", 78, 6-6, 214
"Oscar Robertson", 77, 6-5, 205
"Guy Rodgers", 72, 6-0, 185
"Joe Ruklick", 81, 6-9, 220
"Bill Russell", 82, 6-10, 215
"Tom Sanders", 78, 6-6, 210
"Woody Sauldsberry", 79, 6-7, 220
"Dolph Schayes", 79, 6-7, 195
"Ray Scott", 81, 6-9, 215
"Frank Selvy", 75, 6-3, 180
"Lee Shaffer", 79, 6-7, 220
"Gene Shue", 74, 6-2, 170
"Bob Sims", 77, 6-5, 220
"Adrian Smith", 73, 6-1, 180
"Bill Smith", 77, 6-5, 190
"Bobby Smith", 76, 6-4, 190
"Sam Stith", 74, 6-2, 185
"Jack Turner", 77, 6-5, 200
"Jack Twyman", 78, 6-6, 210
"Charlie Tyra", 80, 6-8, 230
"Horace Walker", 75, 6-3, 210
"Jerry West", 74, 6-2, 175
"Bob Wiesenhahn", 76, 6-4, 215
"Lenny Wilkens", 73, 6-1, 180
"Wayne Yates", 80, 6-8, 235
"Dave Zeller", 73, 6-1, 175
