"Name", Height (Inches), Height(Feet-Inches), Weight
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Tom Abernethy", 79, 6-7, 220
"Alvan Adams", 81, 6-9, 210
"Darrell Allums", 81, 6-9, 220
"Tiny Archibald", 73, 6-1, 150
"Dennis Awtrey", 82, 6-10, 235
"James Bailey", 81, 6-9, 220
"Greg Ballard", 79, 6-7, 215
"Mike Bantom", 81, 6-9, 200
"Billy Ray Bates", 76, 6-4, 210
"Mel Bennett", 79, 6-7, 200
"Kent Benson", 82, 6-10, 235
"Henry Bibby", 73, 6-1, 185
"Larry Bird", 81, 6-9, 220
"Otis Birdsong", 75, 6-3, 190
"Norman Black", 77, 6-5, 185
"Ron Boone", 74, 6-2, 200
"Winford Boynes", 78, 6-6, 185
"Dudley Bradley", 78, 6-6, 195
"Mike Bratz", 74, 6-2, 185
"Jim Brewer", 81, 6-9, 210
"Ron Brewer", 76, 6-4, 180
"Junior Bridgeman", 77, 6-5, 210
"Allan Bristow", 79, 6-7, 210
"Dave Britton", 76, 6-4, 180
"Michael Brooks", 79, 6-7, 220
"Fred Brown", 75, 6-3, 182
"Lewis Brown", 83, 6-11, 225
"Rickey Brown", 82, 6-10, 215
"Joe Bryant", 81, 6-9, 185
"Quinn Buckner", 75, 6-3, 190
"Tom Burleson", 86, 7-2, 225
"Don Buse", 76, 6-4, 190
"Marty Byrnes", 79, 6-7, 215
"Mack Calvin", 72, 6-0, 165
"Austin Carr", 76, 6-4, 200
"Kenny Carr", 79, 6-7, 220
"M.L. Carr", 78, 6-6, 205
"Joe Barry Carroll", 84, 7-0, 225
"Butch Carter", 77, 6-5, 180
"Reggie Carter", 75, 6-3, 175
"Bill Cartwright", 85, 7-1, 245
"Harvey Catchings", 81, 6-9, 218
"Maurice Cheeks", 73, 6-1, 180
"Phil Chenier", 75, 6-3, 180
"Jim Chones", 83, 6-11, 220
"Art Collins", 76, 6-4, 185
"Don Collins", 78, 6-6, 190
"Doug Collins", 78, 6-6, 180
"Darwin Cook", 75, 6-3, 184
"Jeff Cook", 82, 6-10, 215
"Michael Cooper", 77, 6-5, 170
"Wayne Cooper", 82, 6-10, 220
"Dave Corzine", 83, 6-11, 250
"Charlie Criss", 68, 5-8, 165
"Geoff Crompton", 83, 6-11, 280
"Pat Cummings", 81, 6-9, 230
"Earl Cureton", 81, 6-9, 210
"Bob Dandridge", 78, 6-6, 195
"Adrian Dantley", 77, 6-5, 208
"Brad Davis", 75, 6-3, 180
"Johnny Davis", 74, 6-2, 170
"Monti Davis", 79, 6-7, 205
"Ron Davis", 78, 6-6, 198
"Walter Davis", 78, 6-6, 193
"Darryl Dawkins", 83, 6-11, 251
"Larry Demic", 81, 6-9, 225
"Coby Dietrick", 82, 6-10, 220
"James Donaldson", 86, 7-2, 275
"Jacky Dorsey", 79, 6-7, 230
"Leon Douglas", 82, 6-10, 230
"John Drew", 78, 6-6, 205
"Larry Drew", 73, 6-1, 170
"Ralph Drollinger", 86, 7-2, 250
"Terry Duerod", 74, 6-2, 180
"Mike Dunleavy", 75, 6-3, 180
"T.R. Dunn", 76, 6-4, 192
"John Duren", 75, 6-3, 195
"James Edwards", 84, 7-0, 225
"Bob Elliott", 81, 6-9, 225
"Len Elmore", 81, 6-9, 220
"Alex English", 79, 6-7, 190
"Julius Erving", 78, 6-6, 200
"Mike Evans", 73, 6-1, 170
"Eric Fernsten", 82, 6-10, 205
"Chris Ford", 77, 6-5, 190
"Don Ford", 81, 6-9, 215
"Phil Ford", 74, 6-2, 175
"World B. Free", 74, 6-2, 185
"Tony Fuller", 76, 6-4, 180
"Mike Gale", 76, 6-4, 185
"Calvin Garrett", 79, 6-7, 190
"Gus Gerard", 80, 6-8, 200
"George Gervin", 79, 6-7, 180
"Artis Gilmore", 86, 7-2, 240
"Mike Glenn", 74, 6-2, 175
"Mike Gminski", 83, 6-11, 250
"Glen Gondrezick", 78, 6-6, 218
"Rickey Green", 72, 6-0, 170
"Dave Greenwood", 81, 6-9, 222
"Kevin Grevey", 77, 6-5, 210
"Paul Griffin", 81, 6-9, 205
"Darrell Griffith", 76, 6-4, 190
"Bob Gross", 78, 6-6, 200
"Ernie Grunfeld", 78, 6-6, 210
"Roy Hamilton", 74, 6-2, 180
"Bill Hanzlik", 79, 6-7, 185
"Alan Hardy", 79, 6-7, 195
"James Hardy", 80, 6-8, 220
"Mike Harper", 82, 6-10, 195
"Joe Hassett", 77, 6-5, 180
"Steve Hawes", 81, 6-9, 220
"Elvin Hayes", 81, 6-9, 235
"Gar Heard", 78, 6-6, 219
"Gerald Henderson", 74, 6-2, 175
"Tom Henderson", 75, 6-3, 190
"Keith Herron", 78, 6-6, 195
"Kenny Higgs", 72, 6-0, 180
"Johnny High", 75, 6-3, 185
"Armond Hill", 76, 6-4, 190
"Brad Holland", 75, 6-3, 180
"Lionel Hollins", 75, 6-3, 185
"Cedrick Hordges", 80, 6-8, 220
"Phil Hubbard", 80, 6-8, 215
"Kim Hughes", 83, 6-11, 220
"Geoff Huston", 74, 6-2, 175
"Dan Issel", 81, 6-9, 235
"Tony Jackson", 72, 6-0, 170
"Abdul Jeelani", 80, 6-8, 210
"Clemon Johnson", 82, 6-10, 240
"Dennis Johnson", 76, 6-4, 185
"Eddie Johnson", 74, 6-2, 180
"George Johnson", 83, 6-11, 205
"George Johnson", 79, 6-7, 210
"John Johnson", 79, 6-7, 200
"Lee Johnson", 83, 6-11, 205
"Magic Johnson", 80, 6-8, 215
"Marques Johnson", 79, 6-7, 218
"Mickey Johnson", 82, 6-10, 190
"Ollie Johnson", 78, 6-6, 200
"Reggie Johnson", 81, 6-9, 205
"Vinnie Johnson", 74, 6-2, 200
"Bobby Jones", 81, 6-9, 210
"Caldwell Jones", 83, 6-11, 217
"Dwight Jones", 82, 6-10, 210
"Edgar Jones", 82, 6-10, 225
"Major Jones", 81, 6-9, 225
"Eddie Jordan", 73, 6-1, 170
"Walter Jordan", 79, 6-7, 198
"Jeff Judkins", 78, 6-6, 185
"Clarence Kea", 78, 6-6, 218
"Rich Kelley", 84, 7-0, 235
"Greg Kelser", 79, 6-7, 190
"Larry Kenon", 81, 6-9, 205
"Chad Kinch", 76, 6-4, 190
"Bernard King", 79, 6-7, 205
"Reggie King", 78, 6-6, 225
"Billy Knight", 78, 6-6, 195
"Joel Kramer", 79, 6-7, 203
"Wayne Kreklow", 76, 6-4, 175
"Kevin Kunnert", 84, 7-0, 230
"Mitch Kupchak", 81, 6-9, 230
"Sam Lacey", 82, 6-10, 235
"Tom LaGarde", 82, 6-10, 220
"Bill Laimbeer", 83, 6-11, 245
"John Lambert", 82, 6-10, 225
"Mark Landsberger", 80, 6-8, 215
"Bob Lanier", 83, 6-11, 250
"Edmund Lawrence", 84, 7-0, 228
"Allen Leavell", 73, 6-1, 170
"Ron Lee", 76, 6-4, 193
"Ronnie Lester", 74, 6-2, 175
"Scott Lloyd", 82, 6-10, 230
"John Long", 77, 6-5, 195
"John Lucas", 75, 6-3, 175
"Maurice Lucas", 81, 6-9, 215
"Ollie Mack", 75, 6-3, 185
"Kyle Macy", 75, 6-3, 175
"Rick Mahorn", 82, 6-10, 240
"Moses Malone", 82, 6-10, 215
"Wes Matthews", 73, 6-1, 170
"Cedric Maxwell", 80, 6-8, 205
"Scott May", 79, 6-7, 215
"Bill Mayfield", 79, 6-7, 205
"Bob McAdoo", 81, 6-9, 210
"Andre McCarter", 75, 6-3, 190
"Keith McCord", 79, 6-7, 210
"Jim McElroy", 75, 6-3, 190
"George McGinnis", 80, 6-8, 235
"Kevin McHale", 82, 6-10, 210
"Billy McKinney", 72, 6-0, 160
"Tom McMillen", 83, 6-11, 215
"John Mengelt", 74, 6-2, 195
"Joe Meriweather", 82, 6-10, 215
