"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Mahdi Abdul-Rahman", 74, 6-2, 185
"Don Adams", 78, 6-6, 210
"Rick Adelman", 73, 6-1, 175
"Lucius Allen", 74, 6-2, 175
"Cliff Anderson", 74, 6-2, 200
"Tiny Archibald", 73, 6-1, 150
"Bob Arnzen", 77, 6-5, 205
"Al Attles", 72, 6-0, 175
"Dennis Awtrey", 82, 6-10, 235
"Jim Barnes", 80, 6-8, 210
"Dick Barnett", 76, 6-4, 190
"Jim Barnett", 76, 6-4, 170
"Moe Barr", 76, 6-4, 195
"Johnny Baum", 77, 6-5, 200
"Elgin Baylor", 77, 6-5, 225
"Walt Bellamy", 83, 6-11, 225
"Dave Bing", 75, 6-3, 180
"Tom Black", 82, 6-10, 220
"John Block", 81, 6-9, 207
"Tom Boerwinkle", 84, 7-0, 265
"Bob Boozer", 80, 6-8, 215
"Nate Bowman", 82, 6-10, 230
"Bill Bradley", 77, 6-5, 205
"Bill Bridges", 78, 6-6, 228
"Em Bryant", 73, 6-1, 175
"Fred Carter", 75, 6-3, 185
"Wilt Chamberlain", 85, 7-1, 275
"Jerry Chambers", 77, 6-5, 185
"Don Chaney", 77, 6-5, 210
"Len Chappell", 80, 6-8, 240
"Bob Christian", 82, 6-10, 255
"Archie Clark", 74, 6-2, 175
"Barry Clemens", 78, 6-6, 210
"Jimmy Collins", 74, 6-2, 175
"Joe Cooke", 75, 6-3, 175
"Mel Counts", 84, 7-0, 230
"Dave Cowens", 81, 6-9, 230
"Freddie Crawford", 76, 6-4, 189
"Pete Cross", 81, 6-9, 230
"Billy Cunningham", 78, 6-6, 210
"Dick Cunningham", 82, 6-10, 245
"Bob Dandridge", 78, 6-6, 195
"Jim Davis", 81, 6-9, 225
"Mike Davis", 75, 6-3, 185
"Dave DeBusschere", 78, 6-6, 220
"Connie Dierking", 81, 6-9, 222
"Bill Dinwiddie", 79, 6-7, 220
"Terry Dischinger", 79, 6-7, 189
"Terry Driscoll", 79, 6-7, 215
"Johnny Egan", 71, 5-11, 180
"Joe Ellis", 78, 6-6, 175
"Leroy Ellis", 82, 6-10, 210
"Claude English", 76, 6-4, 185
"Keith Erickson", 77, 6-5, 195
"Greg Fillmore", 85, 7-1, 240
"Hank Finkel", 84, 7-0, 240
"Levi Fontaine", 76, 6-4, 190
"Jake Ford", 75, 6-3, 180
"Fred Foster", 77, 6-5, 210
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"Gary Freeman", 81, 6-9, 210
"Dick Garrett", 75, 6-3, 185
"Herm Gilliam", 75, 6-3, 190
"Walt Gilmore", 78, 6-6, 225
"Gail Goodrich", 73, 6-1, 170
"Bob Greacen", 79, 6-7, 206
"Johnny Green", 77, 6-5, 200
"Lamar Green", 79, 6-7, 210
"Hal Greer", 74, 6-2, 175
"Gary Gregor", 79, 6-7, 225
"Matt Guokas", 77, 6-5, 175
"Happy Hairston", 79, 6-7, 225
"Shaler Halimon", 77, 6-5, 199
"Art Harris", 76, 6-4, 185
"Clem Haskins", 75, 6-3, 195
"John Havlicek", 77, 6-5, 203
"Connie Hawkins", 80, 6-8, 210
"Elvin Hayes", 81, 6-9, 235
"Spencer Haywood", 80, 6-8, 225
"Gar Heard", 78, 6-6, 219
"Al Henry", 81, 6-9, 190
"Fred Hetzel", 80, 6-8, 220
"Bill Hewitt", 79, 6-7, 210
"A.W. Holt", 79, 6-7, 210
"Bill Hosket", 80, 6-8, 225
"Greg Howard", 81, 6-9, 215
"Bailey Howell", 79, 6-7, 210
"Lou Hudson", 77, 6-5, 210
"John Hummer", 81, 6-9, 230
"Greg Hyder", 78, 6-6, 215
"Darrall Imhoff", 82, 6-10, 220
"Luke Jackson", 81, 6-9, 240
"Phil Jackson", 80, 6-8, 220
"George Johnson", 83, 6-11, 245
"Gus Johnson", 78, 6-6, 230
"John Johnson", 79, 6-7, 200
"Rich Johnson", 79, 6-7, 210
"Nick Jones", 74, 6-2, 190
"Wali Jones", 74, 6-2, 180
"Bob Kauffman", 80, 6-8, 240
"Earnie Killum", 75, 6-3, 180
"Toby Kimball", 78, 6-6, 220
"Jim King", 74, 6-2, 175
"Ron Knight", 79, 6-7, 215
"Don Kojis", 77, 6-5, 215
"Howard Komives", 73, 6-1, 185
"Steve Kuberski", 80, 6-8, 215
"Sam Lacey", 82, 6-10, 235
"Bob Lanier", 83, 6-11, 250
"Stu Lantz", 75, 6-3, 175
"Clyde Lee", 82, 6-10, 205
"Bobby Lewis", 75, 6-3, 175
"Paul Long", 74, 6-2, 180
"Kevin Loughery", 75, 6-3, 190
"Bob Love", 80, 6-8, 215
"Jerry Lucas", 80, 6-8, 230
"Mike Lynn", 79, 6-7, 215
"Ed Manning", 79, 6-7, 210
"Pete Maravich", 77, 6-5, 197
"Jack Marin", 79, 6-7, 200
"Harvey Marlatt", 75, 6-3, 185
"Eddie Mast", 81, 6-9, 220
"Don May", 76, 6-4, 200
"Willie McCarter", 75, 6-3, 175
"Jon McGlocklin", 77, 6-5, 205
"Stan McKenzie", 77, 6-5, 195
"McCoy McLemore", 79, 6-7, 230
"Jim McMillian", 77, 6-5, 215
"Tom Meschery", 78, 6-6, 215
"Larry Mikan", 79, 6-7, 210
"Eddie Miles", 76, 6-4, 195
"Steve Mix", 79, 6-7, 215
"Earl Monroe", 75, 6-3, 185
"Otto Moore", 83, 6-11, 205
"Rex Morgan", 77, 6-5, 190
"Erwin Mueller", 80, 6-8, 230
"Jeff Mullins", 76, 6-4, 190
"Calvin Murphy", 69, 5-9, 165
"Dorie Murrey", 80, 6-8, 215
"Don Nelson", 78, 6-6, 210
"Bud Ogden", 78, 6-6, 215
"Ralph Ogden", 77, 6-5, 205
"Charlie Paulk", 80, 6-8, 219
"Curtis Perry", 79, 6-7, 220
"Geoff Petrie", 76, 6-4, 190
"Bob Portman", 77, 6-5, 200
"Mike Price", 75, 6-3, 200
"Bob Quick", 77, 6-5, 215
"Luther Rackley", 82, 6-10, 220
"Willis Reed", 81, 6-9, 235
